ID;Type;Description;DefaultBuilding;MaxGlobalInstances;MaxTeamInstances;MaxPlayerInstances;ExtraPlayerInstances;NoLimit;Monument
0;BUILDINGCLASS_COURTHOUSE;TXT_KEY_BUILDING_COURTHOUSE;BUILDING_COURTHOUSE;-1;-1;-1;0;0;0
1;BUILDINGCLASS_SEAPORT;TXT_KEY_BUILDING_SEAPORT;BUILDING_SEAPORT;-1;-1;-1;0;0;0
2;BUILDINGCLASS_STABLE;TXT_KEY_BUILDING_STABLE;BUILDING_STABLE;-1;-1;-1;0;0;0
3;BUILDINGCLASS_WATERMILL;TXT_KEY_BUILDING_WATERMILL;BUILDING_WATERMILL;-1;-1;-1;0;0;0
4;BUILDINGCLASS_CIRCUS;TXT_KEY_BUILDING_CIRCUS;BUILDING_CIRCUS;-1;-1;-1;0;0;0
5;BUILDINGCLASS_FORGE;TXT_KEY_BUILDING_FORGE;BUILDING_FORGE;-1;-1;-1;0;0;0
6;BUILDINGCLASS_WINDMILL;TXT_KEY_BUILDING_WINDMILL;BUILDING_WINDMILL;-1;-1;-1;0;0;0
7;BUILDINGCLASS_HYDRO_PLANT;TXT_KEY_BUILDING_HYDRO_PLANT;BUILDING_HYDRO_PLANT;-1;-1;-1;0;0;0
8;BUILDINGCLASS_SOLAR_PLANT;TXT_KEY_BUILDING_SOLAR_PLANT;BUILDING_SOLAR_PLANT;-1;-1;-1;0;0;0
9;BUILDINGCLASS_MINT;TXT_KEY_BUILDING_MINT;BUILDING_MINT;-1;-1;-1;0;0;0
10;BUILDINGCLASS_OBSERVATORY;TXT_KEY_BUILDING_OBSERVATORY;BUILDING_OBSERVATORY;-1;-1;-1;0;0;0
11;BUILDINGCLASS_MONASTERY;TXT_KEY_BUILDING_MONASTERY;BUILDING_MONASTERY;-1;-1;-1;0;0;0
12;BUILDINGCLASS_GARDEN;TXT_KEY_BUILDING_GARDEN;BUILDING_GARDEN;-1;-1;-1;0;0;0
13;BUILDINGCLASS_LIGHTHOUSE;TXT_KEY_BUILDING_LIGHTHOUSE;BUILDING_LIGHTHOUSE;-1;-1;-1;0;0;0
14;BUILDINGCLASS_HARBOR;TXT_KEY_BUILDING_HARBOR;BUILDING_HARBOR;-1;-1;-1;0;0;0
15;BUILDINGCLASS_COLOSSEUM;TXT_KEY_BUILDING_COLOSSEUM;BUILDING_COLOSSEUM;-1;-1;-1;0;0;0
16;BUILDINGCLASS_THEATRE;TXT_KEY_BUILDING_THEATRE;BUILDING_THEATRE;-1;-1;-1;0;0;0
17;BUILDINGCLASS_STADIUM;TXT_KEY_BUILDING_STADIUM;BUILDING_STADIUM;-1;-1;-1;0;0;0
18;BUILDINGCLASS_MONUMENT;TXT_KEY_BUILDING_MONUMENT;BUILDING_MONUMENT;-1;-1;-1;0;0;0
19;BUILDINGCLASS_AMPHITHEATER;TXT_KEY_BUILDING_AMPHITHEATER;BUILDING_AMPHITHEATER;-1;-1;-1;0;0;0
20;BUILDINGCLASS_OPERA_HOUSE;TXT_KEY_BUILDING_OPERA_HOUSE;BUILDING_OPERA_HOUSE;-1;-1;-1;0;0;0
21;BUILDINGCLASS_MUSEUM;TXT_KEY_BUILDING_MUSEUM;BUILDING_MUSEUM;-1;-1;-1;0;0;0
22;BUILDINGCLASS_BROADCAST_TOWER;TXT_KEY_BUILDING_BROADCAST_TOWER;BUILDING_BROADCAST_TOWER;-1;-1;-1;0;0;0
23;BUILDINGCLASS_SHRINE;TXT_KEY_BUILDING_SHRINE;BUILDING_SHRINE;-1;-1;-1;0;0;0
24;BUILDINGCLASS_TEMPLE;TXT_KEY_BUILDING_TEMPLE;BUILDING_TEMPLE;-1;-1;-1;0;0;0
25;BUILDINGCLASS_BARRACKS;TXT_KEY_BUILDING_BARRACKS;BUILDING_BARRACKS;-1;-1;-1;0;0;0
26;BUILDINGCLASS_ARMORY;TXT_KEY_BUILDING_ARMORY;BUILDING_ARMORY;-1;-1;-1;0;0;0
27;BUILDINGCLASS_MILITARY_ACADEMY;TXT_KEY_BUILDING_MILITARY_ACADEMY;BUILDING_MILITARY_ACADEMY;-1;-1;-1;0;0;0
