BuildingType;BuildingClassType
BUILDING_ARMORY;BUILDINGCLASS_BARRACKS
BUILDING_MILITARY_ACADEMY;BUILDINGCLASS_ARMORY
BUILDING_ARSENAL;BUILDINGCLASS_CASTLE
BUILDING_CASTLE;BUILDINGCLASS_WALLS
BUILDING_MUGHAL_FORT;BUILDINGCLASS_WALLS
BUILDING_MILITARY_BASE;BUILDINGCLASS_ARSENAL
BUILDING_THEATRE;BUILDINGCLASS_COLOSSEUM
BUILDING_STADIUM;BUILDINGCLASS_THEATRE
BUILDING_MEDICAL_LAB;BUILDINGCLASS_HOSPITAL
BUILDING_FACTORY;BUILDINGCLASS_WORKSHOP
BUILDING_SOLAR_PLANT;BUILDINGCLASS_FACTORY
BUILDING_NUCLEAR_PLANT;BUILDINGCLASS_FACTORY
BUILDING_SPACESHIP_FACTORY;BUILDINGCLASS_FACTORY
BUILDING_BANK;BUILDINGCLASS_MARKET
BUILDING_STOCK_EXCHANGE;BUILDINGCLASS_BANK
BUILDING_SATRAPS_COURT;BUILDINGCLASS_MARKET
BUILDING_UNIVERSITY;BUILDINGCLASS_LIBRARY
BUILDING_WAT;BUILDINGCLASS_LIBRARY
BUILDING_PUBLIC_SCHOOL;BUILDINGCLASS_UNIVERSITY
BUILDING_LABORATORY;BUILDINGCLASS_PUBLIC_SCHOOL
BUILDING_TEMPLE;BUILDINGCLASS_SHRINE
BUILDING_MUD_PYRAMID_MOSQUE;BUILDINGCLASS_SHRINE
BUILDING_BURIAL_TOMB;BUILDINGCLASS_SHRINE
BUILDING_OPERA_HOUSE;BUILDINGCLASS_AMPHITHEATER
BUILDING_MUSEUM;BUILDINGCLASS_OPERA_HOUSE
BUILDING_BROADCAST_TOWER;BUILDINGCLASS_MUSEUM
BUILDING_HERMITAGE;BUILDINGCLASS_OPERA_HOUSE
BUILDING_HEROIC_EPIC;BUILDINGCLASS_BARRACKS
BUILDING_IRONWORKS;BUILDINGCLASS_WORKSHOP
BUILDING_NATIONAL_EPIC;BUILDINGCLASS_MONUMENT
BUILDING_CIRCUS_MAXIMUS;BUILDINGCLASS_COLOSSEUM
BUILDING_NATIONAL_TREASURY;BUILDINGCLASS_MARKET
BUILDING_NATIONAL_COLLEGE;BUILDINGCLASS_LIBRARY
BUILDING_OXFORD_UNIVERSITY;BUILDINGCLASS_UNIVERSITY
BUILDING_HOSPITAL;BUILDINGCLASS_AQUEDUCT
BUILDING_SEAPORT;BUILDINGCLASS_HARBOR
BUILDING_CEILIDH_HALL;BUILDINGCLASS_AMPHITHEATER
BUILDING_AMPHITHEATER;BUILDINGCLASS_MONUMENT
BUILDING_POLICE_STATION;BUILDINGCLASS_CONSTABLE
BUILDING_INTELLIGENCE_AGENCY;BUILDINGCLASS_POLICE_STATION
BUILDING_GRAND_TEMPLE;BUILDINGCLASS_TEMPLE
BUILDING_HANSE;BUILDINGCLASS_MARKET
