BuildingType;BuildingClassType;NumBuildingNeeded
BUILDING_HEROIC_EPIC;BUILDINGCLASS_BARRACKS;-1
BUILDING_NATIONAL_EPIC;BUILDINGCLASS_MONUMENT;-1
BUILDING_CIRCUS_MAXIMUS;BUILDINGCLASS_COLOSSEUM;-1
BUILDING_NATIONAL_TREASURY;BUILDINGCLASS_MARKET;-1
BUILDING_NATIONAL_COLLEGE;BUILDINGCLASS_LIBRARY;-1
BUILDING_IRONWORKS;BUILDINGCLASS_WORKSHOP;-1
BUILDING_OXFORD_UNIVERSITY;BUILDINGCLASS_UNIVERSITY;-1
BUILDING_HERMITAGE;BUILDINGCLASS_OPERA_HOUSE;-1
BUILDING_INTELLIGENCE_AGENCY;BUILDINGCLASS_POLICE_STATION;-1
BUILDING_GRAND_TEMPLE;BUILDINGCLASS_TEMPLE;-1
BUILDING_TOURIST_CENTER;BUILDINGCLASS_HOTEL;-1
