BuildingType;ResourceType;YieldType;Yield
BUILDING_MINT;RESOURCE_GOLD;YIELD_GOLD;2
BUILDING_MINT;RESOURCE_SILVER;YIELD_GOLD;2
BUILDING_GRANARY;RESOURCE_WHEAT;YIELD_FOOD;1
BUILDING_STABLE;RESOURCE_SHEEP;YIELD_PRODUCTION;1
BUILDING_GRANARY;RESOURCE_BANANA;YIELD_FOOD;1
BUILDING_STABLE;RESOURCE_HORSE;YIELD_PRODUCTION;1
BUILDING_GRANARY;RESOURCE_DEER;YIELD_FOOD;1
BUILDING_STABLE;RESOURCE_COW;YIELD_PRODUCTION;1
BUILDING_LIGHTHOUSE;RESOURCE_FISH;YIELD_FOOD;1
BUILDING_FORGE;RESOURCE_IRON;YIELD_PRODUCTION;1
BUILDING_STONE_WORKS;RESOURCE_MARBLE;YIELD_PRODUCTION;1
BUILDING_STONE_WORKS;RESOURCE_STONE;YIELD_PRODUCTION;1
BUILDING_BAZAAR;RESOURCE_OIL;YIELD_GOLD;2
BUILDING_MONASTERY;RESOURCE_INCENSE;YIELD_FAITH;1
BUILDING_MONASTERY;RESOURCE_WINE;YIELD_FAITH;1
BUILDING_MONASTERY;RESOURCE_INCENSE;YIELD_CULTURE;1
BUILDING_MONASTERY;RESOURCE_WINE;YIELD_CULTURE;1
BUILDING_MAUSOLEUM_HALICARNASSUS;RESOURCE_MARBLE;YIELD_GOLD;2
BUILDING_MAUSOLEUM_HALICARNASSUS;RESOURCE_STONE;YIELD_GOLD;2
BUILDING_DUCAL_STABLE;RESOURCE_SHEEP;YIELD_PRODUCTION;1
BUILDING_DUCAL_STABLE;RESOURCE_HORSE;YIELD_PRODUCTION;1
BUILDING_DUCAL_STABLE;RESOURCE_COW;YIELD_PRODUCTION;1
BUILDING_DUCAL_STABLE;RESOURCE_SHEEP;YIELD_GOLD;1
BUILDING_DUCAL_STABLE;RESOURCE_HORSE;YIELD_GOLD;1
BUILDING_DUCAL_STABLE;RESOURCE_COW;YIELD_GOLD;1
