BuildingType;YieldType;Yield
BUILDING_PALACE;YIELD_GOLD;3
BUILDING_PALACE;YIELD_PRODUCTION;3
BUILDING_PALACE;YIELD_SCIENCE;3
BUILDING_PAPER_MAKER;YIELD_GOLD;2
BUILDING_GRANARY;YIELD_FOOD;2
BUILDING_WATERMILL;YIELD_FOOD;2
BUILDING_WATERMILL;YIELD_PRODUCTION;1
BUILDING_WINDMILL;YIELD_PRODUCTION;2
BUILDING_FLOATING_GARDENS;YIELD_FOOD;2
BUILDING_FLOATING_GARDENS;YIELD_PRODUCTION;1
BUILDING_NATIONAL_TREASURY;YIELD_GOLD;4
BUILDING_IRONWORKS;YIELD_PRODUCTION;8
BUILDING_NATIONAL_COLLEGE;YIELD_SCIENCE;3
BUILDING_OXFORD_UNIVERSITY;YIELD_SCIENCE;3
BUILDING_GREAT_LIBRARY;YIELD_SCIENCE;3
BUILDING_MARKET;YIELD_GOLD;1
BUILDING_BAZAAR;YIELD_GOLD;2
BUILDING_SATRAPS_COURT;YIELD_GOLD;3
BUILDING_BANK;YIELD_GOLD;2
BUILDING_STOCK_EXCHANGE;YIELD_GOLD;3
BUILDING_WORKSHOP;YIELD_PRODUCTION;2
BUILDING_LONGHOUSE;YIELD_PRODUCTION;2
BUILDING_FACTORY;YIELD_PRODUCTION;4
BUILDING_SOLAR_PLANT;YIELD_PRODUCTION;5
BUILDING_NUCLEAR_PLANT;YIELD_PRODUCTION;5
BUILDING_HOSPITAL;YIELD_FOOD;5
BUILDING_PUBLIC_SCHOOL;YIELD_SCIENCE;3
BUILDING_LABORATORY;YIELD_SCIENCE;4
BUILDING_STONE_WORKS;YIELD_PRODUCTION;1
BUILDING_BIG_BEN;YIELD_GOLD;4
BUILDING_MACHU_PICHU;YIELD_GOLD;5
BUILDING_COLOSSUS;YIELD_GOLD;5
BUILDING_HANGING_GARDEN;YIELD_FOOD;6
BUILDING_MUGHAL_FORT;YIELD_CULTURE;2
BUILDING_WAT;YIELD_CULTURE;3
BUILDING_MONUMENT;YIELD_CULTURE;2
BUILDING_OPERA_HOUSE;YIELD_CULTURE;1
BUILDING_MUSEUM;YIELD_CULTURE;1
BUILDING_BROADCAST_TOWER;YIELD_CULTURE;1
BUILDING_PALACE;YIELD_CULTURE;1
BUILDING_HEROIC_EPIC;YIELD_CULTURE;1
BUILDING_NATIONAL_COLLEGE;YIELD_CULTURE;1
BUILDING_NATIONAL_EPIC;YIELD_CULTURE;1
BUILDING_CIRCUS_MAXIMUS;YIELD_CULTURE;1
BUILDING_OXFORD_UNIVERSITY;YIELD_CULTURE;1
BUILDING_HERMITAGE;YIELD_CULTURE;2
BUILDING_GREAT_LIGHTHOUSE;YIELD_CULTURE;1
BUILDING_GREAT_LIBRARY;YIELD_CULTURE;1
BUILDING_PYRAMID;YIELD_CULTURE;1
BUILDING_COLOSSUS;YIELD_CULTURE;1
BUILDING_ORACLE;YIELD_CULTURE;3
BUILDING_HANGING_GARDEN;YIELD_CULTURE;1
BUILDING_GREAT_WALL;YIELD_CULTURE;1
BUILDING_ANGKOR_WAT;YIELD_CULTURE;1
BUILDING_CHICHEN_ITZA;YIELD_CULTURE;1
