ID;Type;Description;Civilopedia;Strategy;Help;ThemingBonusHelp;Quote;GoldMaintenance;MutuallyExclusiveGroup;TeamShare;Water;River;FreshWater;Mountain;NearbyMountainRequired;Hill;Flat;FoundsReligion;IsReligious;BorderObstacle;PlayerBorderObstacle;Capital;GoldenAge;MapCentering;NeverCapture;NukeImmune;AllowsWaterRoutes;ExtraLuxuries;DiplomaticVoting;AffectSpiesNow;NullifyInfluenceModifier;Cost;FaithCost;LeagueCost;UnlockedByBelief;UnlockedByLeague;HolyCity;NumCityCostMod;HurryCostModifier;MinAreaSize;ConquestProb;CitiesPrereq;LevelPrereq;CultureRateModifier;GlobalCultureRateModifier;GreatPeopleRateModifier;GlobalGreatPeopleRateModifier;GreatGeneralRateModifier;GreatPersonExpendGold;GoldenAgeModifier;UnitUpgradeCostMod;Experience;GlobalExperience;FoodKept;Airlift;AirModifier;NukeModifier;NukeExplosionRand;HealRateChange;Happiness;UnmoddedHappiness;UnhappinessModifier;HappinessPerCity;HappinessPerXPolicies;CityCountUnhappinessMod;NoOccupiedUnhappiness;WorkerSpeedModifier;MilitaryProductionModifier;SpaceProductionModifier;GlobalSpaceProductionModifier;BuildingProductionModifier;WonderProductionModifier;CityConnectionTradeRouteModifier;CapturePlunderModifier;PolicyCostModifier;PlotCultureCostModifier;GlobalPlotCultureCostModifier;PlotBuyCostModifier;GlobalPlotBuyCostModifier;GlobalPopulationChange;TechShare;FreeTechs;FreePolicies;FreeGreatPeople;MedianTechPercentChange;Gold;AllowsRangeStrike;Espionage;AllowsFoodTradeRoutes;AllowsProductionTradeRoutes;Defense;ExtraCityHitPoints;GlobalDefenseMod;MinorFriendshipChange;VictoryPoints;ExtraMissionarySpreads;ReligiousPressureModifier;EspionageModifier;GlobalEspionageModifier;ExtraSpies;SpyRankChange;InstantSpyRankChange;TradeRouteRecipientBonus;TradeRouteTargetBonus;NumTradeRouteBonus;LandmarksTourismPercent;InstantMilitaryIncrease;GreatWorksTourismModifier;XBuiltTriggersIdeologyChoice;TradeRouteSeaDistanceModifier;TradeRouteSeaGoldBonus;TradeRouteLandDistanceModifier;TradeRouteLandGoldBonus;CityStateTradeRouteProductionModifier;GreatScientistBeakerModifier;BuildingClass;ArtDefineTag;NearbyTerrainRequired;ProhibitedCityTerrain;VictoryPrereq;FreeStartEra;MaxStartEra;ObsoleteTech;EnhancedYieldTech;TechEnhancedTourism;FreeBuilding;FreeBuildingThisCity;FreePromotion;TrainedFreePromotion;FreePromotionRemoved;ReplacementBuildingClass;PrereqTech;PolicyBranchType;SpecialistType;SpecialistCount;GreatWorkSlotType;FreeGreatWork;GreatWorkCount;SpecialistExtraCulture;GreatPeopleRateChange;ExtraLeagueVotes;CityWall;DisplayPosition;PortraitIndex;WonderSplashImage;WonderSplashAnchor;WonderSplashAudio;IconAtlas;ArtInfoCulturalVariation;ArtInfoEraVariation;ArtInfoRandomVariation
0;BUILDING_FLOATING_GARDENS;TXT_KEY_BUILDING_FLOATING_GARDENS_DESC;TXT_KEY_BUILDING_FLOATING_GARDENS_PEDIA;TXT_KEY_BUILDING_FOATING_GARDENS_STRATEGY;TXT_KEY_BUILDING_FLOATING_GARDENS_HELP;;;1;-1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;0;25;1;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BUILDINGCLASS_WATERMILL;ART_DEF_BUILDING_WATERMILL;;;;;;;;0;;;;;;;TECH_THE_WHEEL;;;0;;;0;0;0;0;0;0;58;;R,T;;BW_ATLAS_1;0;0;0
1;BUILDING_COURTHOUSE;TXT_KEY_BUILDING_COURTHOUSE;TXT_KEY_BUILDING_COURTHOUSE_PEDIA;TXT_KEY_BUILDING_COURTHOUSE_STRATEGY;TXT_KEY_BUILDING_COURTHOUSE_HELP;;;4;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;50;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BUILDINGCLASS_COURTHOUSE;COURTHOUSE;;;;;;;;0;;;;;;;TECH_MATHEMATICS;;;0;;;0;0;0;0;0;0;63;;R,T;;BW_ATLAS_1;0;0;0
2;BUILDING_MUGHAL_FORT;TXT_KEY_BUILDING_MUGHAL_FORT_DESC;TXT_KEY_BUILDING_MUGHAL_FORT_PEDIA;TXT_KEY_BUILDING_MUGHAL_FORT_STRATEGY;TXT_KEY_BUILDING_MUGHAL_FORT_HELP;;;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;0;0;0;25;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;700;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BUILDINGCLASS_CASTLE;ART_DEF_BUILDING_CASTLE;;;;;;;TECH_FLIGHT;2;;;;;;;TECH_CHIVALRY;;;0;;;0;0;0;0;0;0;39;;R,T;;BW_ATLAS_1;0;0;0
3;BUILDING_KREPOST;TXT_KEY_BUILDING_KREPOST_DESC;TXT_KEY_BUILDINGS_KREPOST_PEDIA;TXT_KEY_BUILDINGS_KREPOST_STRATEGY;TXT_KEY_BUILDING_KREPOST_HELP;;;1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;0;25;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-25;0;-25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BUILDINGCLASS_BARRACKS;ART_DEF_BUILDING_BARRACKS;;;;ERA_INDUSTRIAL;;;;0;;;;;;;TECH_BRONZE_WORKING;;;0;;;0;0;0;0;0;0;61;;R,T;;BW_ATLAS_1;0;0;0
4;BUILDING_LONGHOUSE;TXT_KEY_BUILDING_LONGHOUSE_DESC;TXT_KEY_BUILDING_LONGHOUSE_PEDIA;TXT_KEY_BUILDING_LONGHOUSE_STRATEGY;TXT_KEY_BUILDING_LONGHOUSE_HELP;;;2;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;25;-1;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BUILDINGCLASS_WORKSHOP;ART_DEF_BUILDING_FORGE;;;;ERA_INDUSTRIAL;;;;0;;;;;;;TECH_METAL_CASTING;;SPECIALIST_ENGINEER;1;;;0;0;0;0;0;0;57;;R,T;;BW_ATLAS_1;0;0;0
5;BUILDING_BAZAAR;TXT_KEY_BUILDING_BAZAAR_DESC;TXT_KEY_CIV5_BUILDINGS_BAZAAR_TEXT;TXT_KEY_BUILDING_BAZAAR_STRATEGY;TXT_KEY_BUILDING_BAZAAR_HELP;;;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;100;0;0;0;0;0;0;25;-1;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;BUILDINGCLASS_MARKET;ART_DEF_BUILDING_MARKET;;;;ERA_INDUSTRIAL;;;;0;;;;;;;TECH_CURRENCY;;SPECIALIST_MERCHANT;1;;;0;0;0;0;0;0;50;;R,T;;BW_ATLAS_1;0;0;0
6;BUILDING_SATRAPS_COURT;TXT_KEY_BUILDING_SATRAPS_COURT_DESC;TXT_KEY_BUILDING_SATRAPS_COURT_PEDIA;TXT_KEY_BUILDING_SATRAPS_COURT_STRATEGY;TXT_KEY_BUILDING_SATRAPS_COURT_HELP;;;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;15;-1;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;BUILDINGCLASS_BANK;ART_DEF_BUILDING_BANK;;;;ERA_FUTURE;;;;0;;;;;;;TECH_BANKING;;SPECIALIST_MERCHANT;1;;;0;0;0;0;0;0;53;;R,T;;BW_ATLAS_1;0;0;0
7;BUILDING_PAPER_MAKER;TXT_KEY_BUILDING_PAPER_MAKER_DESC;TXT_KEY_BUILDING_PAPER_MAKER_PEDIA;TXT_KEY_BUILDING_PAPER_MAKER_STRATEGY;TXT_KEY_BUILDING_PAPER_MAKER_HELP;;;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;0;25;-1;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BUILDINGCLASS_LIBRARY;ART_DEF_BUILDING_PAPER_MAKER;;;;ERA_INDUSTRIAL;;;;0;;;;;;;TECH_WRITING;;;0;;;0;0;0;0;0;0;59;;R,T;;BW_ATLAS_1;0;0;0
8;BUILDING_WAT;TXT_KEY_BUILDING_WAT_DESC;TXT_KEY_BUILDING_WAT_PEDIA;TXT_KEY_BUILDING_WAT_STRATEGY;TXT_KEY_BUILDING_WAT_HELP;;;2;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;200;0;1;0;0;0;15;-1;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BUILDINGCLASS_UNIVERSITY;WAT;;;;;;;;0;;;;;;;TECH_EDUCATION;;SPECIALIST_SCIENTIST;2;;;0;0;0;0;0;0;51;;R,T;;BW_ATLAS_1;0;0;0
9;BUILDING_MUD_PYRAMID_MOSQUE;TXT_KEY_BUILDING_MUD_PYRAMID_MOSQUE_DESC;TXT_KEY_CIV5_BUILDING_MUD_PYRAMID_MOSQUE_PEDIA;TXT_KEY_BUILDING_MUD_PYRAMID_MOSQUE_STRATEGY;TXT_KEY_BUILDING_MUD_PYRAMID_MOSQUE_HELP;;;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;25;-1;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BUILDINGCLASS_TEMPLE;MUD_PYRAMID_MOSQUE;;;;;ERA_RENAISSANCE;;;0;;;;;;;TECH_PHILOSOPHY;;;0;;;0;0;0;0;0;0;60;;R,T;;BW_ATLAS_1;0;0;0
