CivilizationType;BuildingClassType
CIVILIZATION_AMERICA;BUILDINGCLASS_PALACE
CIVILIZATION_ARABIA;BUILDINGCLASS_PALACE
CIVILIZATION_AZTEC;BUILDINGCLASS_PALACE
CIVILIZATION_CHINA;BUILDINGCLASS_PALACE
CIVILIZATION_EGYPT;BUILDINGCLASS_PALACE
CIVILIZATION_ENGLAND;BUILDINGCLASS_PALACE
CIVILIZATION_FRANCE;BUILDINGCLASS_PALACE
CIVILIZATION_GERMANY;BUILDINGCLASS_PALACE
CIVILIZATION_GREECE;BUILDINGCLASS_PALACE
CIVILIZATION_INDIA;BUILDINGCLASS_PALACE
CIVILIZATION_IROQUOIS;BUILDINGCLASS_PALACE
CIVILIZATION_JAPAN;BUILDINGCLASS_PALACE
CIVILIZATION_OTTOMAN;BUILDINGCLASS_PALACE
CIVILIZATION_PERSIA;BUILDINGCLASS_PALACE
CIVILIZATION_ROME;BUILDINGCLASS_PALACE
CIVILIZATION_RUSSIA;BUILDINGCLASS_PALACE
CIVILIZATION_SIAM;BUILDINGCLASS_PALACE
CIVILIZATION_SONGHAI;BUILDINGCLASS_PALACE
CIVILIZATION_MINOR;BUILDINGCLASS_PALACE
CIVILIZATION_MONGOL;BUILDINGCLASS_PALACE
CIVILIZATION_INCA;BUILDINGCLASS_PALACE
CIVILIZATION_POLYNESIA;BUILDINGCLASS_PALACE
CIVILIZATION_DENMARK;BUILDINGCLASS_PALACE
CIVILIZATION_KOREA;BUILDINGCLASS_PALACE
CIVILIZATION_BABYLON;BUILDINGCLASS_PALACE
CIVILIZATION_AUSTRIA;BUILDINGCLASS_PALACE
CIVILIZATION_BYZANTIUM;BUILDINGCLASS_PALACE
CIVILIZATION_CARTHAGE;BUILDINGCLASS_PALACE
CIVILIZATION_CELTS;BUILDINGCLASS_PALACE
CIVILIZATION_HUNS;BUILDINGCLASS_PALACE
CIVILIZATION_MAYA;BUILDINGCLASS_PALACE
CIVILIZATION_NETHERLANDS;BUILDINGCLASS_PALACE
CIVILIZATION_SWEDEN;BUILDINGCLASS_PALACE
CIVILIZATION_SPAIN;BUILDINGCLASS_PALACE
CIVILIZATION_ETHIOPIA;BUILDINGCLASS_PALACE
CIVILIZATION_ASSYRIA;BUILDINGCLASS_PALACE
CIVILIZATION_BRAZIL;BUILDINGCLASS_PALACE
CIVILIZATION_INDONESIA;BUILDINGCLASS_PALACE
CIVILIZATION_MOROCCO;BUILDINGCLASS_PALACE
CIVILIZATION_POLAND;BUILDINGCLASS_PALACE
CIVILIZATION_PORTUGAL;BUILDINGCLASS_PALACE
CIVILIZATION_SHOSHONE;BUILDINGCLASS_PALACE
CIVILIZATION_VENICE;BUILDINGCLASS_PALACE
CIVILIZATION_ZULU;BUILDINGCLASS_PALACE
