CivilizationType;UnitClassType;UnitAIType;Count
CIVILIZATION_AMERICA;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_ARABIA;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_AZTEC;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_CHINA;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_EGYPT;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_ENGLAND;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_FRANCE;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_GERMANY;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_GREECE;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_INDIA;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_IROQUOIS;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_JAPAN;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_OTTOMAN;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_PERSIA;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_ROME;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_RUSSIA;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_SIAM;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_SONGHAI;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_MINOR;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_MONGOL;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_INCA;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_POLYNESIA;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_DENMARK;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_KOREA;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_BABYLON;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_AUSTRIA;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_BYZANTIUM;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_CARTHAGE;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_CELTS;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_HUNS;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_MAYA;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_NETHERLANDS;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_SWEDEN;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_SPAIN;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_ETHIOPIA;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_ASSYRIA;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_BRAZIL;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_INDONESIA;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_MOROCCO;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_POLAND;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_PORTUGAL;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_SHOSHONE;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_VENICE;UNITCLASS_SETTLER;UNITAI_SETTLE;1
CIVILIZATION_ZULU;UNITCLASS_SETTLER;UNITAI_SETTLE;1
