CivilizationType;RegionType
CIVILIZATION_ARABIA;REGION_DESERT
CIVILIZATION_AZTEC;REGION_JUNGLE
CIVILIZATION_INDIA;REGION_GRASS
CIVILIZATION_IROQUOIS;REGION_FOREST
CIVILIZATION_RUSSIA;REGION_TUNDRA
CIVILIZATION_MONGOL;REGION_PLAINS
CIVILIZATION_INCA;REGION_HILLS
CIVILIZATION_CELTS;REGION_FOREST
CIVILIZATION_NETHERLANDS;REGION_GRASS
CIVILIZATION_AUSTRIA;REGION_HILLS
CIVILIZATION_BRAZIL;REGION_JUNGLE
CIVILIZATION_MONGOL;REGION_PLAINS
CIVILIZATION_MOROCCO;REGION_DESERT
CIVILIZATION_POLAND;REGION_PLAINS
CIVILIZATION_SWEDEN;REGION_TUNDRA
