ID;Type;Description;Civilopedia;CivilopediaTag;Strategy;Playable;AIPlayable;ShortDescription;Adjective;DefaultPlayerColor;ArtDefineTag;ArtStyleType;ArtStyleSuffix;ArtStylePrefix;DerivativeCiv;PortraitIndex;IconAtlas;AlphaIconAtlas;MapImage;DawnOfManQuote;DawnOfManImage;DawnOfManAudio;PackageID;SoundtrackTag
0;CIVILIZATION_AMERICA;TXT_KEY_CIV_AMERICA_DESC;;TXT_KEY_CIV5_UNITEDSTATES;;1;1;TXT_KEY_CIV_AMERICA_SHORT_DESC;TXT_KEY_CIV_AMERICA_ADJECTIVE;PLAYERCOLOR_AMERICA;ART_DEF_CIVILIZATION_AMERICA;ARTSTYLE_EUROPEAN;_EURO;EUROPEAN;;0;CIV_COLOR_ATLAS;CIV_ALPHA_ATLAS;MapAmerica512.dds;TXT_KEY_CIV5_DAWN_UNITEDSTATES_TEXT;DOM_Washington.dds;AS2D_DOM_SPEECH_UNITED_STATES;;
1;CIVILIZATION_ARABIA;TXT_KEY_CIV_ARABIA_DESC;;TXT_KEY_CIV5_ARABIA;;1;1;TXT_KEY_CIV_ARABIA_SHORT_DESC;TXT_KEY_CIV_ARABIA_ADJECTIVE;PLAYERCOLOR_ARABIA;ART_DEF_CIVILIZATION_ARABIA;ARTSTYLE_MIDDLE_EAST;_AFRI;AFRICAN;;1;CIV_COLOR_ATLAS;CIV_ALPHA_ATLAS;MapAbbasid512.dds;TXT_KEY_CIV5_DAWN_ARABIA_TEXT;DOM_AlRashid.dds;AS2D_DOM_SPEECH_ARABIA;;
2;CIVILIZATION_AZTEC;TXT_KEY_CIV_AZTEC_DESC;;TXT_KEY_CIV5_AZTECS;;1;1;TXT_KEY_CIV_AZTEC_SHORT_DESC;TXT_KEY_CIV_AZTEC_ADJECTIVE;PLAYERCOLOR_AZTEC;ART_DEF_CIVILIZATION_AZTEC;ARTSTYLE_SOUTH_AMERICA;_AMER;AMERICAN;;2;CIV_COLOR_ATLAS;CIV_ALPHA_ATLAS;MapAztec512.dds;TXT_KEY_CIV5_DAWN_AZTECS_TEXT;DOM_Monty.dds;AS2D_DOM_SPEECH_AZTEC;;
3;CIVILIZATION_CHINA;TXT_KEY_CIV_CHINA_DESC;;TXT_KEY_CIV5_CHINA;;1;1;TXT_KEY_CIV_CHINA_SHORT_DESC;TXT_KEY_CIV_CHINA_ADJECTIVE;PLAYERCOLOR_CHINA;ART_DEF_CIVILIZATION_CHINA;ARTSTYLE_ASIAN;_ASIA;ASIAN;;4;CIV_COLOR_ATLAS;CIV_ALPHA_ATLAS;MapChina512.dds;TXT_KEY_CIV5_DAWN_CHINA_TEXT;DOM_Wu.dds;AS2D_DOM_SPEECH_CHINA;;
4;CIVILIZATION_EGYPT;TXT_KEY_CIV_EGYPT_DESC;;TXT_KEY_CIV5_EGYPT;;1;1;TXT_KEY_CIV_EGYPT_SHORT_DESC;TXT_KEY_CIV_EGYPT_ADJECTIVE;PLAYERCOLOR_EGYPT;ART_DEF_CIVILIZATION_EGYPT;ARTSTYLE_MIDDLE_EAST;_AFRI;AFRICAN;;5;CIV_COLOR_ATLAS;CIV_ALPHA_ATLAS;MapEgypt512.dds;TXT_KEY_CIV5_DAWN_EGYPT_TEXT;DOM_Ramesess.dds;AS2D_DOM_SPEECH_EGYPT;;
5;CIVILIZATION_ENGLAND;TXT_KEY_CIV_ENGLAND_DESC;;TXT_KEY_CIV5_ENGLAND;;1;1;TXT_KEY_CIV_ENGLAND_SHORT_DESC;TXT_KEY_CIV_ENGLAND_ADJECTIVE;PLAYERCOLOR_ENGLAND;ART_DEF_CIVILIZATION_ENGLAND;ARTSTYLE_EUROPEAN;_EURO;EUROPEAN;;6;CIV_COLOR_ATLAS;CIV_ALPHA_ATLAS;MapEngland512.dds;TXT_KEY_CIV5_DAWN_ENGLAND_TEXT;DOM_Elizabeth.dds;AS2D_DOM_SPEECH_ENGLAND;;
6;CIVILIZATION_FRANCE;TXT_KEY_CIV_FRANCE_DESC;;TXT_KEY_CIV5_FRANCE;;1;1;TXT_KEY_CIV_FRANCE_SHORT_DESC;TXT_KEY_CIV_FRANCE_ADJECTIVE;PLAYERCOLOR_FRANCE;ART_DEF_CIVILIZATION_FRANCE;ARTSTYLE_EUROPEAN;_EURO;EUROPEAN;;7;CIV_COLOR_ATLAS;CIV_ALPHA_ATLAS;MapFrance512.dds;TXT_KEY_CIV5_DAWN_FRANCE_TEXT;DOM_Napoleon.dds;AS2D_DOM_SPEECH_FRANCE;;
7;CIVILIZATION_GERMANY;TXT_KEY_CIV_GERMANY_DESC;;TXT_KEY_CIV5_GERMANY;;1;1;TXT_KEY_CIV_GERMANY_SHORT_DESC;TXT_KEY_CIV_GERMANY_ADJECTIVE;PLAYERCOLOR_GERMANY;ART_DEF_CIVILIZATION_GERMANY;ARTSTYLE_EUROPEAN;_EURO;EUROPEAN;;8;CIV_COLOR_ATLAS;CIV_ALPHA_ATLAS;MapGermany512.dds;TXT_KEY_CIV5_DAWN_GERMANY_TEXT;DOM_Bizmark.dds;AS2D_DOM_SPEECH_GERMANY;;
8;CIVILIZATION_GREECE;TXT_KEY_CIV_GREECE_DESC;;TXT_KEY_CIV5_GREECE;;1;1;TXT_KEY_CIV_GREECE_SHORT_DESC;TXT_KEY_CIV_GREECE_ADJECTIVE;PLAYERCOLOR_GREECE;ART_DEF_CIVILIZATION_GREECE;ARTSTYLE_GRECO_ROMAN;_MED;MEDITERRANEAN;;9;CIV_COLOR_ATLAS;CIV_ALPHA_ATLAS;MapMacedonia512.dds;TXT_KEY_CIV5_DAWN_GREECE_TEXT;DOM_Alex.dds;AS2D_DOM_SPEECH_GREECE;;
9;CIVILIZATION_INDIA;TXT_KEY_CIV_INDIA_DESC;;TXT_KEY_CIV5_INDIA;;1;1;TXT_KEY_CIV_INDIA_SHORT_DESC;TXT_KEY_CIV_INDIA_ADJECTIVE;PLAYERCOLOR_INDIA;ART_DEF_CIVILIZATION_INDIA;ARTSTYLE_ASIAN;_ASIA;ASIAN;;11;CIV_COLOR_ATLAS;CIV_ALPHA_ATLAS;MapIndia512.dds;TXT_KEY_CIV5_DAWN_INDIA_TEXT;DOM_Gandhi.dds;AS2D_DOM_SPEECH_INDIA;;
