EraType;SoundTrack
ERA_ANCIENT;AS2D_ANCIENT_SOUNDTRACK_1
ERA_ANCIENT;AS2D_ANCIENT_SOUNDTRACK_2
ERA_ANCIENT;AS2D_ANCIENT_SOUNDTRACK_3
ERA_ANCIENT;AS2D_ANCIENT_SOUNDTRACK_4
ERA_CLASSICAL;AS2D_SONG_ALEXANDER
ERA_CLASSICAL;AS2D_SONG_VIKING
ERA_CLASSICAL;AS2D_SONG_ROME
ERA_CLASSICAL;AS2D_SONG_PELOPONNESIAN
ERA_CLASSICAL;AS2D_SONG_CIV_III_MID_ROME
ERA_CLASSICAL;AS2D_SONG_CIV_III_ANC_EUROPE
ERA_CLASSICAL;AS2D_SONG_CIV_III_ANC_ROME
ERA_CLASSICAL;AS2D_SONG_CIV_III_MID_EUROPE
ERA_CLASSICAL;AS2D_SONG_CIV_III_MOD_CELTIC
ERA_CLASSICAL;AS2D_SONG_CONQUESTS_FANTASY1
ERA_CLASSICAL;AS2D_SONG_CONQUESTS_FANTASY2
ERA_CLASSICAL;AS2D_SONG_CONQUESTS_ROMAN
ERA_CLASSICAL;AS2D_SONG_DIP_EC_EARLY_PEACE
ERA_CLASSICAL;AS2D_SONG_DIP_EC_EARLY_WAR
ERA_CLASSICAL;AS2D_SONG_DIP_EU_LATE_PEACE
ERA_CLASSICAL;AS2D_SONG_DIP_EU_LATE_WAR
ERA_CLASSICAL;AS2D_SONG_DIP_GR_EARLY_PEACE
ERA_CLASSICAL;AS2D_SONG_BARBARIAN
ERA_CLASSICAL;AS2D_SONG_DIP_GR_EARLY_WAR
ERA_MEDIEVAL;AS2D_ALLEGRI_MISERERE
ERA_MEDIEVAL;AS2D_ANONYMOUS_AY_SANTA_MARIA
ERA_MEDIEVAL;AS2D_ANONYMOUS_LA_GAMBA
ERA_MEDIEVAL;AS2D_BRUMEL_GLORIA
ERA_MEDIEVAL;AS2D_CHANT_DEUS
ERA_MEDIEVAL;AS2D_CHANT_LAUDATE
ERA_MEDIEVAL;AS2D_CHANT_REGEN
ERA_MEDIEVAL;AS2D_DE_LA_TORRE_ALTA
ERA_MEDIEVAL;AS2D_DESPREZ_EL_GRILLO
ERA_MEDIEVAL;AS2D_DESPREZ_LAMENT
ERA_MEDIEVAL;AS2D_LASSUS_ALMA_REDEMPTORIS
ERA_MEDIEVAL;AS2D_OCKEGHEM_INTEMERATA
ERA_MEDIEVAL;AS2D_OCKEGHEM_KYRIE
ERA_MEDIEVAL;AS2D_ORTIZ_RECERCADA
ERA_MEDIEVAL;AS2D_PALESTRINA_CREDO
ERA_MEDIEVAL;AS2D_PALESTRINA_GLORIA
ERA_MEDIEVAL;AS2D_PRAETORIUS_BALLET
ERA_MEDIEVAL;AS2D_PRAETORIUS_BRANSLE
ERA_MEDIEVAL;AS2D_PRAETORIUS_VOLTE
ERA_MEDIEVAL;AS2D_SHEPPARD_MEDIA_VITA
ERA_RENAISSANCE;AS2D_BACH_ALLEGRO
ERA_RENAISSANCE;AS2D_BACH_ALLEGRO_ASSAI
ERA_RENAISSANCE;AS2D_BACH_ALLEMANDE
ERA_RENAISSANCE;AS2D_BACH_BOUREE
ERA_RENAISSANCE;AS2D_BACH_BRANDENBURG_2_3
ERA_RENAISSANCE;AS2D_BACH_BRANDENBURG_3_1
ERA_RENAISSANCE;AS2D_BACH_BRANDENBURG_4_1
ERA_RENAISSANCE;AS2D_BACH_BRANDENBURG_6_1
ERA_RENAISSANCE;AS2D_BACH_BRANDENBURG_6_3
ERA_RENAISSANCE;AS2D_BACH_GIGUE
ERA_RENAISSANCE;AS2D_BACH_LARGO
ERA_RENAISSANCE;AS2D_BACH_MENUET
ERA_RENAISSANCE;AS2D_BACH_SARABANDE
ERA_RENAISSANCE;AS2D_BEETHOVEN_ALLEGRETTO
ERA_RENAISSANCE;AS2D_BEETHOVEN_ANDANTE
ERA_RENAISSANCE;AS2D_BEETHOVEN_ROMANCE_1
ERA_RENAISSANCE;AS2D_MOZART_ADAGIO
ERA_RENAISSANCE;AS2D_MOZART_ANDANTE
ERA_RENAISSANCE;AS2D_MOZART_ROMANCE
ERA_INDUSTRIAL;AS2D_BEETHOVEN_5_2
ERA_INDUSTRIAL;AS2D_BEETHOVEN_6_1
ERA_INDUSTRIAL;AS2D_BEETHOVEN_6_2
ERA_INDUSTRIAL;AS2D_BRAHMS_3_2
ERA_INDUSTRIAL;AS2D_BRAHMS_3_3
ERA_INDUSTRIAL;AS2D_BRAHMS_HUNGARIAN_1
ERA_INDUSTRIAL;AS2D_BRAHMS_HUNGARIAN_3
ERA_INDUSTRIAL;AS2D_BRAHMS_HUNGARIAN_16
ERA_INDUSTRIAL;AS2D_DVORAK_9_2
ERA_INDUSTRIAL;AS2D_DVORAK_AMERICAN_1
ERA_INDUSTRIAL;AS2D_DVORAK_SLAVONIC_3
ERA_INDUSTRIAL;AS2D_DVORAK_SLAVONIC_7
ERA_INDUSTRIAL;AS2D_DVORAK_SLAVONIC_10
ERA_INDUSTRIAL;AS2D_DVORAK_SLAVONIC_12
ERA_INDUSTRIAL;AS2D_RIMSKY_KORSAKOV_SCHEHERAZADE_3
ERA_INDUSTRIAL;AS2D_SAINT_SAENS_ALLEGRETTO
ERA_MODERN;AS2D_ANFORTAS_WOUND
ERA_MODERN;AS2D_CHAIRMAN_DANCES
ERA_MODERN;AS2D_CHCONNE
ERA_MODERN;AS2D_CHRISTIAN_ZEAL
ERA_MODERN;AS2D_COMMON_TONES
ERA_MODERN;AS2D_GRAND_PIANOLA_1
ERA_MODERN;AS2D_GRAND_PIANOLA_2
ERA_MODERN;AS2D_HARMONIELEHRE
ERA_MODERN;AS2D_HYMING_SLEWS
ERA_MODERN;AS2D_LOOPS_AND_VERSES
ERA_MODERN;AS2D_MEISTER_ECKHARDT
ERA_MODERN;AS2D_SHAKING_AND_TREMBLING
ERA_MODERN;AS2D_THE_PEOPLE_ARE_HEROES
ERA_MODERN;AS2D_TROMBA_LONTANA
ERA_POSTMODERN;AS2D_ANFORTAS_WOUND
ERA_POSTMODERN;AS2D_CHAIRMAN_DANCES
ERA_POSTMODERN;AS2D_CHCONNE
ERA_POSTMODERN;AS2D_CHRISTIAN_ZEAL
ERA_POSTMODERN;AS2D_COMMON_TONES
ERA_POSTMODERN;AS2D_GRAND_PIANOLA_1
ERA_POSTMODERN;AS2D_GRAND_PIANOLA_2
ERA_POSTMODERN;AS2D_HARMONIELEHRE
ERA_POSTMODERN;AS2D_HYMING_SLEWS
ERA_POSTMODERN;AS2D_LOOPS_AND_VERSES
ERA_POSTMODERN;AS2D_MEISTER_ECKHARDT
ERA_POSTMODERN;AS2D_SHAKING_AND_TREMBLING
ERA_POSTMODERN;AS2D_THE_PEOPLE_ARE_HEROES
ERA_POSTMODERN;AS2D_TROMBA_LONTANA
ERA_FUTURE;AS2D_ANFORTAS_WOUND
ERA_FUTURE;AS2D_CHAIRMAN_DANCES
ERA_FUTURE;AS2D_CHCONNE
ERA_FUTURE;AS2D_CHRISTIAN_ZEAL
ERA_FUTURE;AS2D_COMMON_TONES
ERA_FUTURE;AS2D_GRAND_PIANOLA_1
ERA_FUTURE;AS2D_GRAND_PIANOLA_2
ERA_FUTURE;AS2D_HARMONIELEHRE
ERA_FUTURE;AS2D_HYMING_SLEWS
ERA_FUTURE;AS2D_LOOPS_AND_VERSES
ERA_FUTURE;AS2D_MEISTER_ECKHARDT
ERA_FUTURE;AS2D_SHAKING_AND_TREMBLING
ERA_FUTURE;AS2D_THE_PEOPLE_ARE_HEROES
ERA_FUTURE;AS2D_TROMBA_LONTANA
