ImprovementType;ResourceType;ResourceMakesValid;ResourceTrade;DiscoveryRand;QuantityRequirement
IMPROVEMENT_FARM;RESOURCE_WHEAT;1;1;0;0
IMPROVEMENT_MINE;RESOURCE_IRON;1;1;0;0
IMPROVEMENT_MINE;RESOURCE_COAL;1;1;0;0
IMPROVEMENT_MINE;RESOURCE_ALUMINUM;1;1;0;0
IMPROVEMENT_MINE;RESOURCE_URANIUM;1;1;0;0
IMPROVEMENT_MINE;RESOURCE_GEMS;1;1;0;0
IMPROVEMENT_MINE;RESOURCE_GOLD;1;1;0;0
IMPROVEMENT_MINE;RESOURCE_SILVER;1;1;0;0
IMPROVEMENT_QUARRY;RESOURCE_MARBLE;1;1;0;0
IMPROVEMENT_QUARRY;RESOURCE_STONE;1;1;0;0
IMPROVEMENT_PASTURE;RESOURCE_HORSE;1;1;0;0
IMPROVEMENT_PASTURE;RESOURCE_COW;1;1;0;0
IMPROVEMENT_PASTURE;RESOURCE_SHEEP;1;1;0;0
IMPROVEMENT_CAMP;RESOURCE_IVORY;1;1;0;0
IMPROVEMENT_CAMP;RESOURCE_FUR;1;1;0;0
IMPROVEMENT_CAMP;RESOURCE_DEER;1;1;0;0
IMPROVEMENT_FISHING_BOATS;RESOURCE_FISH;1;1;0;0
IMPROVEMENT_FISHING_BOATS;RESOURCE_WHALE;1;1;0;0
IMPROVEMENT_FISHING_BOATS;RESOURCE_PEARLS;1;1;0;0
IMPROVEMENT_PLANTATION;RESOURCE_BANANA;1;1;0;0
IMPROVEMENT_PLANTATION;RESOURCE_DYE;1;1;0;0
IMPROVEMENT_PLANTATION;RESOURCE_SILK;1;1;0;0
IMPROVEMENT_PLANTATION;RESOURCE_SPICES;1;1;0;0
IMPROVEMENT_PLANTATION;RESOURCE_SUGAR;1;1;0;0
IMPROVEMENT_PLANTATION;RESOURCE_COTTON;1;1;0;0
IMPROVEMENT_PLANTATION;RESOURCE_WINE;1;1;0;0
IMPROVEMENT_PLANTATION;RESOURCE_INCENSE;1;1;0;0
IMPROVEMENT_WELL;RESOURCE_OIL;1;1;0;0
IMPROVEMENT_OFFSHORE_PLATFORM;RESOURCE_OIL;1;1;0;0
IMPROVEMENT_CUSTOMS_HOUSE;RESOURCE_HORSE;1;1;0;0
IMPROVEMENT_CUSTOMS_HOUSE;RESOURCE_IRON;1;1;0;0
IMPROVEMENT_CUSTOMS_HOUSE;RESOURCE_COAL;1;1;0;0
IMPROVEMENT_CUSTOMS_HOUSE;RESOURCE_OIL;1;1;0;0
IMPROVEMENT_CUSTOMS_HOUSE;RESOURCE_ALUMINUM;1;1;0;0
IMPROVEMENT_CUSTOMS_HOUSE;RESOURCE_URANIUM;1;1;0;0
IMPROVEMENT_ACADEMY;RESOURCE_HORSE;1;1;0;0
IMPROVEMENT_ACADEMY;RESOURCE_IRON;1;1;0;0
IMPROVEMENT_ACADEMY;RESOURCE_COAL;1;1;0;0
IMPROVEMENT_ACADEMY;RESOURCE_OIL;1;1;0;0
IMPROVEMENT_ACADEMY;RESOURCE_ALUMINUM;1;1;0;0
IMPROVEMENT_ACADEMY;RESOURCE_URANIUM;1;1;0;0
IMPROVEMENT_CITADEL;RESOURCE_HORSE;1;1;0;0
IMPROVEMENT_CITADEL;RESOURCE_IRON;1;1;0;0
IMPROVEMENT_CITADEL;RESOURCE_COAL;1;1;0;0
IMPROVEMENT_CITADEL;RESOURCE_OIL;1;1;0;0
IMPROVEMENT_CITADEL;RESOURCE_ALUMINUM;1;1;0;0
IMPROVEMENT_CITADEL;RESOURCE_URANIUM;1;1;0;0
IMPROVEMENT_MANUFACTORY;RESOURCE_HORSE;1;1;0;0
IMPROVEMENT_MANUFACTORY;RESOURCE_IRON;1;1;0;0
IMPROVEMENT_MANUFACTORY;RESOURCE_COAL;1;1;0;0
IMPROVEMENT_MANUFACTORY;RESOURCE_OIL;1;1;0;0
IMPROVEMENT_MANUFACTORY;RESOURCE_ALUMINUM;1;1;0;0
IMPROVEMENT_MANUFACTORY;RESOURCE_URANIUM;1;1;0;0
IMPROVEMENT_ARCHAEOLOGICAL_DIG;RESOURCE_HIDDEN_ARTIFACTS;1;1;0;0
IMPROVEMENT_HOLY_SITE;RESOURCE_HORSE;1;1;0;0
IMPROVEMENT_HOLY_SITE;RESOURCE_IRON;1;1;0;0
IMPROVEMENT_HOLY_SITE;RESOURCE_COAL;1;1;0;0
IMPROVEMENT_HOLY_SITE;RESOURCE_OIL;1;1;0;0
IMPROVEMENT_HOLY_SITE;RESOURCE_ALUMINUM;1;1;0;0
IMPROVEMENT_HOLY_SITE;RESOURCE_URANIUM;1;1;0;0
IMPROVEMENT_MINE;RESOURCE_COPPER;1;1;0;0
IMPROVEMENT_MINE;RESOURCE_SALT;1;1;0;0
IMPROVEMENT_CAMP;RESOURCE_TRUFFLES;1;1;0;0
IMPROVEMENT_FISHING_BOATS;RESOURCE_CRAB;1;1;0;0
IMPROVEMENT_PLANTATION;RESOURCE_CITRUS;1;1;0;0
IMPROVEMENT_ARCHAEOLOGICAL_DIG;RESOURCE_ARTIFACTS;1;1;0;0
IMPROVEMENT_PLANTATION;RESOURCE_COCOA;1;1;0;0
IMPROVEMENT_CAMP;RESOURCE_BISON;1;1;0;0
