ImprovementType;TerrainType
IMPROVEMENT_BARBARIAN_CAMP;TERRAIN_GRASS
IMPROVEMENT_BARBARIAN_CAMP;TERRAIN_PLAINS
IMPROVEMENT_BARBARIAN_CAMP;TERRAIN_DESERT
IMPROVEMENT_BARBARIAN_CAMP;TERRAIN_TUNDRA
IMPROVEMENT_GOODY_HUT;TERRAIN_GRASS
IMPROVEMENT_GOODY_HUT;TERRAIN_PLAINS
IMPROVEMENT_GOODY_HUT;TERRAIN_DESERT
IMPROVEMENT_GOODY_HUT;TERRAIN_TUNDRA
IMPROVEMENT_FARM;TERRAIN_GRASS
IMPROVEMENT_FARM;TERRAIN_PLAINS
IMPROVEMENT_FARM;TERRAIN_DESERT
IMPROVEMENT_TRADING_POST;TERRAIN_GRASS
IMPROVEMENT_TRADING_POST;TERRAIN_PLAINS
IMPROVEMENT_TRADING_POST;TERRAIN_DESERT
IMPROVEMENT_TRADING_POST;TERRAIN_TUNDRA
IMPROVEMENT_FORT;TERRAIN_GRASS
IMPROVEMENT_FORT;TERRAIN_PLAINS
IMPROVEMENT_FORT;TERRAIN_DESERT
IMPROVEMENT_FORT;TERRAIN_TUNDRA
IMPROVEMENT_FORT;TERRAIN_SNOW
IMPROVEMENT_ACADEMY;TERRAIN_GRASS
IMPROVEMENT_ACADEMY;TERRAIN_PLAINS
IMPROVEMENT_ACADEMY;TERRAIN_DESERT
IMPROVEMENT_ACADEMY;TERRAIN_TUNDRA
IMPROVEMENT_ACADEMY;TERRAIN_SNOW
IMPROVEMENT_CUSTOMS_HOUSE;TERRAIN_GRASS
IMPROVEMENT_CUSTOMS_HOUSE;TERRAIN_PLAINS
IMPROVEMENT_CUSTOMS_HOUSE;TERRAIN_DESERT
IMPROVEMENT_CUSTOMS_HOUSE;TERRAIN_TUNDRA
IMPROVEMENT_CUSTOMS_HOUSE;TERRAIN_SNOW
IMPROVEMENT_MANUFACTORY;TERRAIN_GRASS
IMPROVEMENT_MANUFACTORY;TERRAIN_PLAINS
IMPROVEMENT_MANUFACTORY;TERRAIN_DESERT
IMPROVEMENT_MANUFACTORY;TERRAIN_TUNDRA
IMPROVEMENT_MANUFACTORY;TERRAIN_SNOW
IMPROVEMENT_CITADEL;TERRAIN_GRASS
IMPROVEMENT_CITADEL;TERRAIN_PLAINS
IMPROVEMENT_CITADEL;TERRAIN_DESERT
IMPROVEMENT_CITADEL;TERRAIN_TUNDRA
IMPROVEMENT_CITADEL;TERRAIN_SNOW
IMPROVEMENT_MINE;TERRAIN_HILL
IMPROVEMENT_TERRACE_FARM;TERRAIN_HILL
IMPROVEMENT_MOAI;TERRAIN_GRASS
IMPROVEMENT_MOAI;TERRAIN_PLAINS
IMPROVEMENT_MOAI;TERRAIN_DESERT
IMPROVEMENT_MOAI;TERRAIN_TUNDRA
IMPROVEMENT_MOAI;TERRAIN_SNOW
IMPROVEMENT_HOLY_SITE;TERRAIN_GRASS
IMPROVEMENT_HOLY_SITE;TERRAIN_PLAINS
IMPROVEMENT_HOLY_SITE;TERRAIN_DESERT
IMPROVEMENT_HOLY_SITE;TERRAIN_TUNDRA
IMPROVEMENT_HOLY_SITE;TERRAIN_SNOW
IMPROVEMENT_KASBAH;TERRAIN_DESERT
IMPROVEMENT_FEITORIA;TERRAIN_GRASS
IMPROVEMENT_FEITORIA;TERRAIN_PLAINS
IMPROVEMENT_FEITORIA;TERRAIN_DESERT
IMPROVEMENT_FEITORIA;TERRAIN_TUNDRA
IMPROVEMENT_FEITORIA;TERRAIN_SNOW
IMPROVEMENT_CHATEAU;TERRAIN_GRASS
IMPROVEMENT_CHATEAU;TERRAIN_PLAINS
IMPROVEMENT_CHATEAU;TERRAIN_DESERT
IMPROVEMENT_CHATEAU;TERRAIN_TUNDRA
IMPROVEMENT_CHATEAU;TERRAIN_SNOW
