LeaderType;FlavorType;Flavor
LEADER_ALEXANDER;FLAVOR_OFFENSE;8
LEADER_ALEXANDER;FLAVOR_DEFENSE;5
LEADER_ALEXANDER;FLAVOR_CITY_DEFENSE;5
LEADER_ALEXANDER;FLAVOR_MILITARY_TRAINING;5
LEADER_ALEXANDER;FLAVOR_RECON;5
LEADER_ALEXANDER;FLAVOR_RANGED;3
LEADER_ALEXANDER;FLAVOR_MOBILE;8
LEADER_ALEXANDER;FLAVOR_NAVAL;5
LEADER_ALEXANDER;FLAVOR_NAVAL_RECON;5
LEADER_ALEXANDER;FLAVOR_NAVAL_GROWTH;6
LEADER_ALEXANDER;FLAVOR_NAVAL_TILE_IMPROVEMENT;6
LEADER_ALEXANDER;FLAVOR_AIR;3
LEADER_ALEXANDER;FLAVOR_EXPANSION;8
LEADER_ALEXANDER;FLAVOR_GROWTH;4
LEADER_ALEXANDER;FLAVOR_TILE_IMPROVEMENT;4
LEADER_ALEXANDER;FLAVOR_INFRASTRUCTURE;4
LEADER_ALEXANDER;FLAVOR_PRODUCTION;5
LEADER_ALEXANDER;FLAVOR_GOLD;3
LEADER_ALEXANDER;FLAVOR_SCIENCE;6
LEADER_ALEXANDER;FLAVOR_CULTURE;7
LEADER_ALEXANDER;FLAVOR_HAPPINESS;5
LEADER_ALEXANDER;FLAVOR_GREAT_PEOPLE;6
LEADER_ALEXANDER;FLAVOR_WONDER;6
LEADER_ALEXANDER;FLAVOR_RELIGION;5
LEADER_ALEXANDER;FLAVOR_DIPLOMACY;9
LEADER_ALEXANDER;FLAVOR_SPACESHIP;7
LEADER_ALEXANDER;FLAVOR_WATER_CONNECTION;6
LEADER_ALEXANDER;FLAVOR_NUKE;7
LEADER_ALEXANDER;FLAVOR_USE_NUKE;5
LEADER_ALEXANDER;FLAVOR_ESPIONAGE;5
LEADER_ALEXANDER;FLAVOR_ANTIAIR;5
LEADER_ALEXANDER;FLAVOR_AIR_CARRIER;5
LEADER_ASKIA;FLAVOR_OFFENSE;8
LEADER_ASKIA;FLAVOR_DEFENSE;4
LEADER_ASKIA;FLAVOR_CITY_DEFENSE;5
LEADER_ASKIA;FLAVOR_MILITARY_TRAINING;6
LEADER_ASKIA;FLAVOR_RECON;5
LEADER_ASKIA;FLAVOR_RANGED;5
LEADER_ASKIA;FLAVOR_MOBILE;7
LEADER_ASKIA;FLAVOR_NAVAL;6
