LeaderType;MinorCivApproachType;Bias
LEADER_ALEXANDER;MINOR_CIV_APPROACH_IGNORE;4
LEADER_ALEXANDER;MINOR_CIV_APPROACH_FRIENDLY;5
LEADER_ALEXANDER;MINOR_CIV_APPROACH_PROTECTIVE;8
LEADER_ALEXANDER;MINOR_CIV_APPROACH_CONQUEST;4
LEADER_ALEXANDER;MINOR_CIV_APPROACH_BULLY;3
LEADER_ASKIA;MINOR_CIV_APPROACH_IGNORE;5
LEADER_ASKIA;MINOR_CIV_APPROACH_FRIENDLY;5
LEADER_ASKIA;MINOR_CIV_APPROACH_PROTECTIVE;4
LEADER_ASKIA;MINOR_CIV_APPROACH_CONQUEST;8
LEADER_ASKIA;MINOR_CIV_APPROACH_BULLY;7
LEADER_AUGUSTUS;MINOR_CIV_APPROACH_IGNORE;5
LEADER_AUGUSTUS;MINOR_CIV_APPROACH_FRIENDLY;7
LEADER_AUGUSTUS;MINOR_CIV_APPROACH_PROTECTIVE;6
LEADER_AUGUSTUS;MINOR_CIV_APPROACH_CONQUEST;6
LEADER_AUGUSTUS;MINOR_CIV_APPROACH_BULLY;5
LEADER_BISMARCK;MINOR_CIV_APPROACH_IGNORE;4
LEADER_BISMARCK;MINOR_CIV_APPROACH_FRIENDLY;5
LEADER_BISMARCK;MINOR_CIV_APPROACH_PROTECTIVE;7
LEADER_BISMARCK;MINOR_CIV_APPROACH_CONQUEST;4
LEADER_BISMARCK;MINOR_CIV_APPROACH_BULLY;4
LEADER_CATHERINE;MINOR_CIV_APPROACH_IGNORE;4
LEADER_CATHERINE;MINOR_CIV_APPROACH_FRIENDLY;6
LEADER_CATHERINE;MINOR_CIV_APPROACH_PROTECTIVE;6
LEADER_CATHERINE;MINOR_CIV_APPROACH_CONQUEST;7
LEADER_CATHERINE;MINOR_CIV_APPROACH_BULLY;5
LEADER_DARIUS;MINOR_CIV_APPROACH_IGNORE;5
LEADER_DARIUS;MINOR_CIV_APPROACH_FRIENDLY;5
LEADER_DARIUS;MINOR_CIV_APPROACH_PROTECTIVE;4
LEADER_DARIUS;MINOR_CIV_APPROACH_CONQUEST;5
LEADER_DARIUS;MINOR_CIV_APPROACH_BULLY;7
LEADER_ELIZABETH;MINOR_CIV_APPROACH_IGNORE;5
LEADER_ELIZABETH;MINOR_CIV_APPROACH_FRIENDLY;5
LEADER_ELIZABETH;MINOR_CIV_APPROACH_PROTECTIVE;7
LEADER_ELIZABETH;MINOR_CIV_APPROACH_CONQUEST;6
LEADER_ELIZABETH;MINOR_CIV_APPROACH_BULLY;4
LEADER_GANDHI;MINOR_CIV_APPROACH_IGNORE;5
LEADER_GANDHI;MINOR_CIV_APPROACH_FRIENDLY;7
LEADER_GANDHI;MINOR_CIV_APPROACH_PROTECTIVE;7
LEADER_GANDHI;MINOR_CIV_APPROACH_CONQUEST;3
LEADER_GANDHI;MINOR_CIV_APPROACH_BULLY;4
LEADER_HARUN_AL_RASHID;MINOR_CIV_APPROACH_IGNORE;3
LEADER_HARUN_AL_RASHID;MINOR_CIV_APPROACH_FRIENDLY;6
LEADER_HARUN_AL_RASHID;MINOR_CIV_APPROACH_PROTECTIVE;7
LEADER_HARUN_AL_RASHID;MINOR_CIV_APPROACH_CONQUEST;4
LEADER_HARUN_AL_RASHID;MINOR_CIV_APPROACH_BULLY;4
LEADER_HIAWATHA;MINOR_CIV_APPROACH_IGNORE;5
LEADER_HIAWATHA;MINOR_CIV_APPROACH_FRIENDLY;7
LEADER_HIAWATHA;MINOR_CIV_APPROACH_PROTECTIVE;6
LEADER_HIAWATHA;MINOR_CIV_APPROACH_CONQUEST;3
LEADER_HIAWATHA;MINOR_CIV_APPROACH_BULLY;5
LEADER_MONTEZUMA;MINOR_CIV_APPROACH_IGNORE;3
LEADER_MONTEZUMA;MINOR_CIV_APPROACH_FRIENDLY;3
LEADER_MONTEZUMA;MINOR_CIV_APPROACH_PROTECTIVE;3
LEADER_MONTEZUMA;MINOR_CIV_APPROACH_CONQUEST;8
LEADER_MONTEZUMA;MINOR_CIV_APPROACH_BULLY;8
LEADER_NAPOLEON;MINOR_CIV_APPROACH_IGNORE;4
LEADER_NAPOLEON;MINOR_CIV_APPROACH_FRIENDLY;6
LEADER_NAPOLEON;MINOR_CIV_APPROACH_PROTECTIVE;7
LEADER_NAPOLEON;MINOR_CIV_APPROACH_CONQUEST;7
LEADER_NAPOLEON;MINOR_CIV_APPROACH_BULLY;4
LEADER_ODA_NOBUNAGA;MINOR_CIV_APPROACH_IGNORE;5
LEADER_ODA_NOBUNAGA;MINOR_CIV_APPROACH_FRIENDLY;4
LEADER_ODA_NOBUNAGA;MINOR_CIV_APPROACH_PROTECTIVE;7
LEADER_ODA_NOBUNAGA;MINOR_CIV_APPROACH_CONQUEST;7
LEADER_ODA_NOBUNAGA;MINOR_CIV_APPROACH_BULLY;4
LEADER_RAMESSES;MINOR_CIV_APPROACH_IGNORE;5
LEADER_RAMESSES;MINOR_CIV_APPROACH_FRIENDLY;5
LEADER_RAMESSES;MINOR_CIV_APPROACH_PROTECTIVE;7
LEADER_RAMESSES;MINOR_CIV_APPROACH_CONQUEST;5
LEADER_RAMESSES;MINOR_CIV_APPROACH_BULLY;4
LEADER_RAMKHAMHAENG;MINOR_CIV_APPROACH_IGNORE;3
LEADER_RAMKHAMHAENG;MINOR_CIV_APPROACH_FRIENDLY;7
LEADER_RAMKHAMHAENG;MINOR_CIV_APPROACH_PROTECTIVE;7
LEADER_RAMKHAMHAENG;MINOR_CIV_APPROACH_CONQUEST;3
LEADER_RAMKHAMHAENG;MINOR_CIV_APPROACH_BULLY;4
LEADER_SULEIMAN;MINOR_CIV_APPROACH_IGNORE;5
LEADER_SULEIMAN;MINOR_CIV_APPROACH_FRIENDLY;5
LEADER_SULEIMAN;MINOR_CIV_APPROACH_PROTECTIVE;7
LEADER_SULEIMAN;MINOR_CIV_APPROACH_CONQUEST;6
LEADER_SULEIMAN;MINOR_CIV_APPROACH_BULLY;4
LEADER_WASHINGTON;MINOR_CIV_APPROACH_IGNORE;6
LEADER_WASHINGTON;MINOR_CIV_APPROACH_FRIENDLY;7
LEADER_WASHINGTON;MINOR_CIV_APPROACH_PROTECTIVE;5
LEADER_WASHINGTON;MINOR_CIV_APPROACH_CONQUEST;4
LEADER_WASHINGTON;MINOR_CIV_APPROACH_BULLY;6
LEADER_WU_ZETIAN;MINOR_CIV_APPROACH_IGNORE;4
LEADER_WU_ZETIAN;MINOR_CIV_APPROACH_FRIENDLY;6
LEADER_WU_ZETIAN;MINOR_CIV_APPROACH_PROTECTIVE;7
LEADER_WU_ZETIAN;MINOR_CIV_APPROACH_CONQUEST;5
LEADER_WU_ZETIAN;MINOR_CIV_APPROACH_BULLY;4
LEADER_GENGHIS_KHAN;MINOR_CIV_APPROACH_IGNORE;3
LEADER_GENGHIS_KHAN;MINOR_CIV_APPROACH_FRIENDLY;3
LEADER_PACHACUTI;MINOR_CIV_APPROACH_IGNORE;5
LEADER_PACHACUTI;MINOR_CIV_APPROACH_FRIENDLY;6
LEADER_PACHACUTI;MINOR_CIV_APPROACH_PROTECTIVE;6
LEADER_PACHACUTI;MINOR_CIV_APPROACH_CONQUEST;3
LEADER_KAMEHAMEHA;MINOR_CIV_APPROACH_IGNORE;6
