LeaderType;TraitType
LEADER_ALEXANDER;TRAIT_CITY_STATE_FRIENDSHIP
LEADER_ASKIA;TRAIT_AMPHIB_WARLORD
LEADER_AUGUSTUS;TRAIT_CAPITAL_BUILDINGS_CHEAPER
LEADER_BISMARCK;TRAIT_CONVERTS_LAND_BARBARIANS
LEADER_CATHERINE;TRAIT_STRATEGIC_RICHES
LEADER_DARIUS;TRAIT_ENHANCED_GOLDEN_AGES
LEADER_ELIZABETH;TRAIT_OCEAN_MOVEMENT
LEADER_GANDHI;TRAIT_POPULATION_GROWTH
LEADER_HARUN_AL_RASHID;TRAIT_LAND_TRADE_GOLD
LEADER_HIAWATHA;TRAIT_IGNORE_TERRAIN_IN_FOREST
LEADER_MONTEZUMA;TRAIT_CULTURE_FROM_KILLS
LEADER_NAPOLEON;TRAIT_ENHANCED_CULTURE
LEADER_ODA_NOBUNAGA;TRAIT_FIGHT_WELL_DAMAGED
LEADER_RAMESSES;TRAIT_WONDER_BUILDER
LEADER_RAMKHAMHAENG;TRAIT_CITY_STATE_BONUSES
LEADER_SULEIMAN;TRAIT_CONVERTS_SEA_BARBARIANS
LEADER_WASHINGTON;TRAIT_RIVER_EXPANSION
LEADER_WU_ZETIAN;TRAIT_ART_OF_WAR
LEADER_GENGHIS_KHAN;TRAIT_TERROR
LEADER_PACHACUTI;TRAIT_GREAT_ANDEAN_ROAD
LEADER_KAMEHAMEHA;TRAIT_WAYFINDING
LEADER_HARALD;TRAIT_VIKING_FURY
LEADER_SEJONG;TRAIT_SCHOLARS_JADE_HALL
LEADER_NEBUCHADNEZZAR;TRAIT_INGENIOUS
LEADER_ISABELLA;TRAIT_SEVEN_CITIES
LEADER_ATTILA;TRAIT_RAZE_AND_HORSES
LEADER_BOUDICCA;TRAIT_FAITH_FROM_NATURE
LEADER_DIDO;TRAIT_PHOENICIAN_HERITAGE
LEADER_GUSTAVUS_ADOLPHUS;TRAIT_DIPLOMACY_GREAT_PEOPLE
LEADER_MARIA;TRAIT_ANNEX_CITY_STATE
LEADER_PACAL;TRAIT_LONG_COUNT
LEADER_THEODORA;TRAIT_EXTRA_BELIEF
LEADER_WILLIAM;TRAIT_LUXURY_RETENTION
LEADER_SELASSIE;TRAIT_BONUS_AGAINST_TECH
LEADER_AHMAD_ALMANSUR;TRAIT_GATEWAY_AFRICA
LEADER_ASHURBANIPAL;TRAIT_SLAYER_OF_TIAMAT
LEADER_CASIMIR;TRAIT_SOLIDARITY
LEADER_ENRICO_DANDOLO;TRAIT_SUPER_CITY_STATE
LEADER_GAJAH_MADA;TRAIT_SPICE
LEADER_MARIA_I;TRAIT_EXTRA_TRADE
LEADER_PEDRO;TRAIT_CARNIVAL
LEADER_POCATELLO;TRAIT_GREAT_EXPANSE
LEADER_SHAKA;TRAIT_BUFFALO_HORNS
