ID;Type;Description;Civilopedia;CivilopediaTag;ArtDefineTag;VictoryCompetitiveness;WonderCompetitiveness;MinorCivCompetitiveness;Boldness;DiploBalance;WarmongerHate;WorkAgainstWillingness;WorkWithWillingness;DenounceWillingness;DoFWillingness;Loyalty;Neediness;Forgiveness;Chattiness;Meanness;PortraitIndex;IconAtlas;PackageID
0;LEADER_ALEXANDER;TXT_KEY_LEADER_ALEXANDER;TXT_KEY_LEADER_ALEXANDER_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_ALEXANDER;Alexander_Scene.xml;8;7;3;8;3;2;0;0;7;4;4;4;5;7;7;9;LEADER_ATLAS;
1;LEADER_ASKIA;TXT_KEY_LEADER_ASKIA;TXT_KEY_LEADER_ASKIA_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_ASKIA;Askia_Scene.xml;5;8;4;7;6;4;0;0;5;6;6;4;4;5;6;20;LEADER_ATLAS;
2;LEADER_AUGUSTUS;TXT_KEY_LEADER_AUGUSTUS;TXT_KEY_LEADER_AUGUSTUS_CAESAR_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_AUGUSTUS;Augustus_Scene.xml;7;6;8;6;7;4;0;0;7;5;4;7;4;4;7;17;LEADER_ATLAS;
3;LEADER_BARBARIAN;TXT_KEY_LEADER_BARBARIAN;TXT_KEY_LEADER_BARBARIAN_PEDIA;;ART_DEF_LEADER_BARBARIAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;;
4;LEADER_BISMARCK;TXT_KEY_LEADER_BISMARCK;TXT_KEY_LEADER_BISMARCK_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_BISMARCK;Bismark_Scene.xml;7;6;7;4;8;6;0;0;8;6;6;7;6;5;4;8;LEADER_ATLAS;
5;LEADER_CATHERINE;TXT_KEY_LEADER_CATHERINE;TXT_KEY_LEADER_CATHERINE_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_CATHERINE;Catherine_Scene.xml;6;7;7;3;6;5;0;0;6;6;6;6;4;7;4;18;LEADER_ATLAS;
6;LEADER_DARIUS;TXT_KEY_LEADER_DARIUS;TXT_KEY_LEADER_DARIUS_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_DARIUS;Darius_Scene.xml;7;4;4;3;5;5;0;0;4;4;7;6;3;4;4;16;LEADER_ATLAS;
7;LEADER_ELIZABETH;TXT_KEY_LEADER_ELIZABETH;TXT_KEY_LEADER_ELIZABETH_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_ELIZABETH;Elizabeth_Scene.xml;5;5;8;4;7;7;0;0;6;4;5;7;5;5;6;6;LEADER_ATLAS;
8;LEADER_GANDHI;TXT_KEY_LEADER_GANDHI;TXT_KEY_LEADER_GANDHI_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_GANDHI;Gandhi_Scene.xml;2;3;3;2;4;7;0;0;6;8;7;7;3;6;3;11;LEADER_ATLAS;
9;LEADER_HARUN_AL_RASHID;TXT_KEY_LEADER_HARUN;TXT_KEY_LEADER_HARUN_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_HARUN;Al_Rashid_Scene.xml;4;7;4;3;5;5;0;0;3;6;6;6;6;5;4;1;LEADER_ATLAS;
