PolicyType;BuildingClassType;Happiness
POLICY_NAVAL_TRADITION;BUILDINGCLASS_HARBOR;1
POLICY_NAVAL_TRADITION;BUILDINGCLASS_SEAPORT;1
POLICY_NAVAL_TRADITION;BUILDINGCLASS_LIGHTHOUSE;1
POLICY_CAPITALISM;BUILDINGCLASS_MINT;1
POLICY_CAPITALISM;BUILDINGCLASS_BANK;1
POLICY_CAPITALISM;BUILDINGCLASS_STOCK_EXCHANGE;1
POLICY_URBANIZATION;BUILDINGCLASS_WATERMILL;1
POLICY_URBANIZATION;BUILDINGCLASS_HOSPITAL;1
POLICY_URBANIZATION;BUILDINGCLASS_MEDICAL_LAB;1
POLICY_SOCIALIST_REALISM;BUILDINGCLASS_MONUMENT;2
POLICY_ACADEMY_SCIENCES;BUILDINGCLASS_OBSERVATORY;1
POLICY_ACADEMY_SCIENCES;BUILDINGCLASS_PUBLIC_SCHOOL;1
POLICY_ACADEMY_SCIENCES;BUILDINGCLASS_LABORATORY;1
POLICY_YOUNG_PIONEERS;BUILDINGCLASS_WORKSHOP;1
POLICY_YOUNG_PIONEERS;BUILDINGCLASS_FACTORY;1
POLICY_YOUNG_PIONEERS;BUILDINGCLASS_SOLAR_PLANT;1
POLICY_YOUNG_PIONEERS;BUILDINGCLASS_NUCLEAR_PLANT;1
POLICY_YOUNG_PIONEERS;BUILDINGCLASS_HYDRO_PLANT;1
POLICY_MILITARISM;BUILDINGCLASS_BARRACKS;2
POLICY_MILITARISM;BUILDINGCLASS_ARMORY;2
POLICY_MILITARISM;BUILDINGCLASS_MILITARY_ACADEMY;2
POLICY_FORTIFIED_BORDERS;BUILDINGCLASS_CASTLE;1
POLICY_FORTIFIED_BORDERS;BUILDINGCLASS_ARSENAL;1
POLICY_FORTIFIED_BORDERS;BUILDINGCLASS_MILITARY_BASE;1
POLICY_POLICE_STATE;BUILDINGCLASS_COURTHOUSE;3
POLICY_UNIVERSAL_HEALTHCARE_F;BUILDINGCLASS_PALACE;1
POLICY_UNIVERSAL_HEALTHCARE_F;BUILDINGCLASS_HEROIC_EPIC;1
POLICY_UNIVERSAL_HEALTHCARE_F;BUILDINGCLASS_NATIONAL_EPIC;1
POLICY_UNIVERSAL_HEALTHCARE_F;BUILDINGCLASS_CIRCUS_MAXIMUS;1
POLICY_UNIVERSAL_HEALTHCARE_F;BUILDINGCLASS_NATIONAL_TREASURY;1
POLICY_UNIVERSAL_HEALTHCARE_F;BUILDINGCLASS_NATIONAL_COLLEGE;1
POLICY_UNIVERSAL_HEALTHCARE_F;BUILDINGCLASS_IRONWORKS;1
POLICY_UNIVERSAL_HEALTHCARE_F;BUILDINGCLASS_OXFORD_UNIVERSITY;1
POLICY_UNIVERSAL_HEALTHCARE_F;BUILDINGCLASS_HERMITAGE;1
POLICY_UNIVERSAL_HEALTHCARE_F;BUILDINGCLASS_INTELLIGENCE_AGENCY;1
POLICY_UNIVERSAL_HEALTHCARE_F;BUILDINGCLASS_GRAND_TEMPLE;1
POLICY_UNIVERSAL_HEALTHCARE_F;BUILDINGCLASS_TOURIST_CENTER;1
POLICY_UNIVERSAL_HEALTHCARE_O;BUILDINGCLASS_PALACE;1
POLICY_UNIVERSAL_HEALTHCARE_O;BUILDINGCLASS_HEROIC_EPIC;1
POLICY_UNIVERSAL_HEALTHCARE_O;BUILDINGCLASS_NATIONAL_EPIC;1
POLICY_UNIVERSAL_HEALTHCARE_O;BUILDINGCLASS_CIRCUS_MAXIMUS;1
POLICY_UNIVERSAL_HEALTHCARE_O;BUILDINGCLASS_NATIONAL_TREASURY;1
POLICY_UNIVERSAL_HEALTHCARE_O;BUILDINGCLASS_NATIONAL_COLLEGE;1
POLICY_UNIVERSAL_HEALTHCARE_O;BUILDINGCLASS_IRONWORKS;1
POLICY_UNIVERSAL_HEALTHCARE_O;BUILDINGCLASS_OXFORD_UNIVERSITY;1
POLICY_UNIVERSAL_HEALTHCARE_O;BUILDINGCLASS_HERMITAGE;1
POLICY_UNIVERSAL_HEALTHCARE_O;BUILDINGCLASS_INTELLIGENCE_AGENCY;1
POLICY_UNIVERSAL_HEALTHCARE_O;BUILDINGCLASS_GRAND_TEMPLE;1
POLICY_UNIVERSAL_HEALTHCARE_O;BUILDINGCLASS_TOURIST_CENTER;1
POLICY_UNIVERSAL_HEALTHCARE_A;BUILDINGCLASS_PALACE;1
POLICY_UNIVERSAL_HEALTHCARE_A;BUILDINGCLASS_HEROIC_EPIC;1
POLICY_UNIVERSAL_HEALTHCARE_A;BUILDINGCLASS_NATIONAL_EPIC;1
POLICY_UNIVERSAL_HEALTHCARE_A;BUILDINGCLASS_CIRCUS_MAXIMUS;1
POLICY_UNIVERSAL_HEALTHCARE_A;BUILDINGCLASS_NATIONAL_TREASURY;1
POLICY_UNIVERSAL_HEALTHCARE_A;BUILDINGCLASS_NATIONAL_COLLEGE;1
POLICY_UNIVERSAL_HEALTHCARE_A;BUILDINGCLASS_IRONWORKS;1
POLICY_UNIVERSAL_HEALTHCARE_A;BUILDINGCLASS_OXFORD_UNIVERSITY;1
POLICY_UNIVERSAL_HEALTHCARE_A;BUILDINGCLASS_HERMITAGE;1
POLICY_UNIVERSAL_HEALTHCARE_A;BUILDINGCLASS_INTELLIGENCE_AGENCY;1
POLICY_UNIVERSAL_HEALTHCARE_A;BUILDINGCLASS_GRAND_TEMPLE;1
POLICY_UNIVERSAL_HEALTHCARE_A;BUILDINGCLASS_TOURIST_CENTER;1
