PolicyType;BuildingClassType;ProductionModifier
POLICY_PIETY;BUILDINGCLASS_SHRINE;100
POLICY_PIETY;BUILDINGCLASS_TEMPLE;100
POLICY_CULTURAL_CENTERS;BUILDINGCLASS_MONUMENT;50
POLICY_CULTURAL_CENTERS;BUILDINGCLASS_AMPHITHEATER;50
POLICY_CULTURAL_CENTERS;BUILDINGCLASS_OPERA_HOUSE;50
POLICY_CULTURAL_CENTERS;BUILDINGCLASS_MUSEUM;50
POLICY_CULTURAL_CENTERS;BUILDINGCLASS_BROADCAST_TOWER;50
POLICY_PROFESSIONAL_ARMY;BUILDINGCLASS_BARRACKS;50
POLICY_PROFESSIONAL_ARMY;BUILDINGCLASS_ARMORY;50
POLICY_PROFESSIONAL_ARMY;BUILDINGCLASS_MILITARY_ACADEMY;50
POLICY_SOCIALIST_REALISM;BUILDINGCLASS_MONUMENT;100
POLICY_WORKERS_FACULTIES;BUILDINGCLASS_FACTORY;100
POLICY_POLICE_STATE;BUILDINGCLASS_COURTHOUSE;100
