PolicyType;BuildingClassType;YieldType;YieldChange
POLICY_ORGANIZED_RELIGION;BUILDINGCLASS_SHRINE;YIELD_FAITH;1
POLICY_ORGANIZED_RELIGION;BUILDINGCLASS_TEMPLE;YIELD_FAITH;1
POLICY_MERCANTILISM;BUILDINGCLASS_MINT;YIELD_SCIENCE;1
POLICY_MERCANTILISM;BUILDINGCLASS_MARKET;YIELD_SCIENCE;1
POLICY_MERCANTILISM;BUILDINGCLASS_BANK;YIELD_SCIENCE;1
POLICY_MERCANTILISM;BUILDINGCLASS_STOCK_EXCHANGE;YIELD_SCIENCE;1
POLICY_MERCHANT_NAVY;BUILDINGCLASS_HARBOR;YIELD_GOLD;1
POLICY_MERCHANT_NAVY;BUILDINGCLASS_SEAPORT;YIELD_GOLD;1
POLICY_MERCHANT_NAVY;BUILDINGCLASS_LIGHTHOUSE;YIELD_GOLD;1
POLICY_MERCHANT_NAVY;BUILDINGCLASS_NATIONAL_TREASURY;YIELD_PRODUCTION;4
POLICY_SOVEREIGNTY;BUILDINGCLASS_LIBRARY;YIELD_GOLD;1
POLICY_SOVEREIGNTY;BUILDINGCLASS_UNIVERSITY;YIELD_GOLD;1
POLICY_SOVEREIGNTY;BUILDINGCLASS_OBSERVATORY;YIELD_GOLD;1
POLICY_SOVEREIGNTY;BUILDINGCLASS_LABORATORY;YIELD_GOLD;1
POLICY_SOVEREIGNTY;BUILDINGCLASS_PUBLIC_SCHOOL;YIELD_GOLD;1
