PolicyType;PrereqPolicy
POLICY_COLLECTIVE_RULE;POLICY_REPUBLIC
POLICY_REPRESENTATION;POLICY_CITIZENSHIP
POLICY_MERITOCRACY;POLICY_CITIZENSHIP
POLICY_LEGALISM;POLICY_OLIGARCHY
POLICY_LANDED_ELITE;POLICY_LEGALISM
POLICY_MONARCHY;POLICY_LEGALISM
POLICY_MILITARY_TRADITION;POLICY_WARRIOR_CODE
POLICY_MILITARY_CASTE;POLICY_DISCIPLINE
POLICY_PROFESSIONAL_ARMY;POLICY_MILITARY_CASTE
POLICY_THEOCRACY;POLICY_ORGANIZED_RELIGION
POLICY_FREE_RELIGION;POLICY_ORGANIZED_RELIGION
POLICY_REFORMATION;POLICY_FREE_RELIGION
POLICY_SCHOLASTICISM;POLICY_PHILANTHROPY
POLICY_CULTURAL_DIPLOMACY;POLICY_SCHOLASTICISM
POLICY_MERCHANT_CONFEDERACY;POLICY_SCHOLASTICISM
POLICY_MERCHANT_CONFEDERACY;POLICY_CONSULATES
POLICY_ARTISTIC_GENIUS;POLICY_FINE_ARTS
POLICY_FLOURISHING_OF_ARTS;POLICY_CULTURAL_CENTERS
POLICY_FLOURISHING_OF_ARTS;POLICY_FINE_ARTS
POLICY_ETHICS;POLICY_FLOURISHING_OF_ARTS
POLICY_ENTREPRENEURSHIP;POLICY_CARAVANS
POLICY_MERCANTILISM;POLICY_TRADE_UNIONS
POLICY_PROTECTIONISM;POLICY_MERCANTILISM
POLICY_PROTECTIONISM;POLICY_ENTREPRENEURSHIP
POLICY_MERCHANT_NAVY;POLICY_NAVAL_TRADITION
POLICY_MERCHANT_NAVY;POLICY_MARITIME_INFRASTRUCTURE
POLICY_NAVIGATION_SCHOOL;POLICY_NAVAL_TRADITION
POLICY_TREASURE_FLEETS;POLICY_MERCHANT_NAVY
POLICY_FREE_THOUGHT;POLICY_HUMANISM
POLICY_SOVEREIGNTY;POLICY_SECULARISM
POLICY_SCIENTIFIC_REVOLUTION;POLICY_SOVEREIGNTY
