ResourceType;FeatureType
RESOURCE_OIL;FEATURE_JUNGLE
RESOURCE_OIL;FEATURE_MARSH
RESOURCE_URANIUM;FEATURE_JUNGLE
RESOURCE_URANIUM;FEATURE_FOREST
RESOURCE_URANIUM;FEATURE_MARSH
RESOURCE_WHEAT;FEATURE_FLOOD_PLAINS
RESOURCE_DEER;FEATURE_FOREST
RESOURCE_BANANA;FEATURE_JUNGLE
RESOURCE_GEMS;FEATURE_JUNGLE
RESOURCE_FUR;FEATURE_FOREST
RESOURCE_DYE;FEATURE_JUNGLE
RESOURCE_DYE;FEATURE_FOREST
RESOURCE_SPICES;FEATURE_JUNGLE
RESOURCE_SILK;FEATURE_FOREST
RESOURCE_SUGAR;FEATURE_FLOOD_PLAINS
RESOURCE_SUGAR;FEATURE_MARSH
RESOURCE_TRUFFLES;FEATURE_FOREST
RESOURCE_TRUFFLES;FEATURE_MARSH
RESOURCE_TRUFFLES;FEATURE_JUNGLE
RESOURCE_COCOA;FEATURE_JUNGLE
