ResourceType;TerrainType
RESOURCE_OIL;TERRAIN_GRASS
RESOURCE_OIL;TERRAIN_PLAINS
RESOURCE_URANIUM;TERRAIN_GRASS
RESOURCE_URANIUM;TERRAIN_PLAINS
RESOURCE_URANIUM;TERRAIN_DESERT
RESOURCE_URANIUM;TERRAIN_TUNDRA
RESOURCE_URANIUM;TERRAIN_SNOW
RESOURCE_WHEAT;TERRAIN_DESERT
RESOURCE_DEER;TERRAIN_GRASS
RESOURCE_DEER;TERRAIN_PLAINS
RESOURCE_DEER;TERRAIN_TUNDRA
RESOURCE_DEER;TERRAIN_SNOW
RESOURCE_BANANA;TERRAIN_GRASS
RESOURCE_BANANA;TERRAIN_PLAINS
RESOURCE_GEMS;TERRAIN_GRASS
RESOURCE_GEMS;TERRAIN_PLAINS
RESOURCE_FUR;TERRAIN_GRASS
RESOURCE_FUR;TERRAIN_PLAINS
RESOURCE_FUR;TERRAIN_TUNDRA
RESOURCE_FUR;TERRAIN_SNOW
RESOURCE_DYE;TERRAIN_GRASS
RESOURCE_DYE;TERRAIN_PLAINS
RESOURCE_SPICES;TERRAIN_GRASS
RESOURCE_SPICES;TERRAIN_PLAINS
RESOURCE_SILK;TERRAIN_GRASS
RESOURCE_SILK;TERRAIN_PLAINS
RESOURCE_SUGAR;TERRAIN_GRASS
RESOURCE_SUGAR;TERRAIN_PLAINS
RESOURCE_SUGAR;TERRAIN_DESERT
RESOURCE_TRUFFLES;TERRAIN_GRASS
RESOURCE_TRUFFLES;TERRAIN_PLAINS
RESOURCE_COCOA;TERRAIN_GRASS
RESOURCE_COCOA;TERRAIN_PLAINS
