ResourceType;FlavorType;Flavor
RESOURCE_IRON;FLAVOR_OFFENSE;10
RESOURCE_HORSE;FLAVOR_MOBILE;10
RESOURCE_COAL;FLAVOR_PRODUCTION;10
RESOURCE_STONE;FLAVOR_PRODUCTION;10
RESOURCE_OIL;FLAVOR_OFFENSE;10
RESOURCE_ALUMINUM;FLAVOR_OFFENSE;10
RESOURCE_URANIUM;FLAVOR_OFFENSE;10
RESOURCE_WHEAT;FLAVOR_GROWTH;10
RESOURCE_COW;FLAVOR_GROWTH;10
RESOURCE_SHEEP;FLAVOR_GROWTH;10
RESOURCE_DEER;FLAVOR_GROWTH;10
RESOURCE_BANANA;FLAVOR_GROWTH;10
RESOURCE_FISH;FLAVOR_GROWTH;10
RESOURCE_WHALE;FLAVOR_HAPPINESS;10
RESOURCE_PEARLS;FLAVOR_HAPPINESS;10
RESOURCE_GOLD;FLAVOR_HAPPINESS;10
RESOURCE_SILVER;FLAVOR_HAPPINESS;10
RESOURCE_GEMS;FLAVOR_HAPPINESS;10
RESOURCE_MARBLE;FLAVOR_HAPPINESS;10
RESOURCE_IVORY;FLAVOR_HAPPINESS;10
RESOURCE_FUR;FLAVOR_HAPPINESS;10
RESOURCE_DYE;FLAVOR_HAPPINESS;10
RESOURCE_SPICES;FLAVOR_HAPPINESS;10
RESOURCE_SILK;FLAVOR_HAPPINESS;10
RESOURCE_SUGAR;FLAVOR_HAPPINESS;10
RESOURCE_COTTON;FLAVOR_HAPPINESS;10
RESOURCE_WINE;FLAVOR_HAPPINESS;10
RESOURCE_INCENSE;FLAVOR_HAPPINESS;10
RESOURCE_JEWELRY;FLAVOR_HAPPINESS;10
RESOURCE_PORCELAIN;FLAVOR_HAPPINESS;10
RESOURCE_COPPER;FLAVOR_HAPPINESS;10
RESOURCE_SALT;FLAVOR_HAPPINESS;10
RESOURCE_CRAB;FLAVOR_HAPPINESS;10
RESOURCE_TRUFFLES;FLAVOR_HAPPINESS;10
RESOURCE_CITRUS;FLAVOR_HAPPINESS;10
RESOURCE_ARTIFACTS;FLAVOR_CULTURE;10
RESOURCE_NUTMEG;FLAVOR_HAPPINESS;10
RESOURCE_CLOVES;FLAVOR_HAPPINESS;10
RESOURCE_PEPPER;FLAVOR_HAPPINESS;10
RESOURCE_COCOA;FLAVOR_HAPPINESS;10
