ID;Type;Description;Civilopedia;Help;ResourceClassType;ArtDefineTag;AltArtDefineTag;ArtDefineTagHeavy;AltArtDefineTagHeavy;TechReveal;PolicyReveal;TechCityTrade;TechObsolete;AIStopTradingEra;CivilizationType;Happiness;WonderProductionMod;WonderProductionModObsoleteEra;StartingResourceQuantity;AITradeModifier;AIObjective;PlacementOrder;ConstAppearance;MinAreaSize;MinLatitude;MaxLatitude;RandApp1;RandApp2;RandApp3;RandApp4;Player;TilesPer;MinLandPercent;Unique;GroupRange;GroupRand;ResourceUsage;PresentOnAllValidPlots;Area;Hills;Flatlands;NoRiverSide;Normalize;OnlyMinorCivs;IconString;PortraitIndex;IconAtlas
0;RESOURCE_IRON;TXT_KEY_RESOURCE_IRON;TXT_KEY_CIV5_RESOURCE_IRON_TEXT;TXT_KEY_RESOURCE_IRON_HELP;RESOURCECLASS_RUSH;ART_DEF_RESOURCE_IRON;ART_DEF_RESOURCE_IRON_MARSH;ART_DEF_RESOURCE_IRON_HEAVY;ART_DEF_RESOURCE_IRON_HEAVY_MARSH;TECH_BRONZE_WORKING;;TECH_BRONZE_WORKING;;ERA_POSTMODERN;;0;0;;0;10;1;0;100;3;0;90;10;10;0;0;100;0;0;0;0;0;1;0;0;1;1;1;0;0;[ICON_RES_IRON];0;RESOURCE_ATLAS
1;RESOURCE_HORSE;TXT_KEY_RESOURCE_HORSES;TXT_KEY_CIV5_RESOURCE_HORSE_TEXT;TXT_KEY_RESOURCE_HORSES_HELP;RESOURCECLASS_RUSH;ART_DEF_RESOURCE_HORSE;;ART_DEF_RESOURCE_SUPERHORSE;;TECH_ANIMAL_HUSBANDRY;;TECH_ANIMAL_HUSBANDRY;;ERA_POSTMODERN;;0;0;;0;0;1;1;100;3;0;90;10;10;0;0;75;0;0;0;0;0;1;0;0;0;1;1;0;0;[ICON_RES_HORSE];1;RESOURCE_ATLAS
2;RESOURCE_COAL;TXT_KEY_RESOURCE_COAL;TXT_KEY_CIV5_RESOURCE_COAL_TEXT;TXT_KEY_RESOURCE_COAL_HELP;RESOURCECLASS_MODERN;ART_DEF_RESOURCE_COAL;ART_DEF_RESOURCE_COAL_MARSH;ART_DEF_RESOURCE_COAL_HEAVY;ART_DEF_RESOURCE_COAL_HEAVY_MARSH;TECH_INDUSTRIALIZATION;;TECH_INDUSTRIALIZATION;;;;0;0;;0;0;1;2;100;3;0;90;10;10;0;0;75;0;0;0;0;0;1;0;0;1;0;0;0;0;[ICON_RES_COAL];2;RESOURCE_ATLAS
3;RESOURCE_OIL;TXT_KEY_RESOURCE_OIL;TXT_KEY_CIV5_RESOURCE_OIL_TEXT;TXT_KEY_RESOURCE_OIL_HELP;RESOURCECLASS_MODERN;ART_DEF_RESOURCE_OIL;ART_DEF_RESOURCE_OIL_WATER;ART_DEF_RESOURCE_OIL_HEAVY;ART_DEF_RESOURCE_OIL_HEAVY_WATER;TECH_BIOLOGY;;TECH_BIOLOGY;;;;0;0;;0;20;2;1;100;3;0;90;10;10;0;0;100;0;50;0;0;0;1;0;0;0;1;1;0;0;[ICON_RES_OIL];3;RESOURCE_ATLAS
4;RESOURCE_ALUMINUM;TXT_KEY_RESOURCE_ALUMINUM;TXT_KEY_CIV5_RESOURCE_ALUMINUM_TEXT;TXT_KEY_RESOURCE_ALUMINUM_HELP;RESOURCECLASS_MODERN;ART_DEF_RESOURCE_ALUMINUM;ART_DEF_RESOURCE_ALUMINUM;ART_DEF_RESOURCE_ALUMINUM_HEAVY;ART_DEF_RESOURCE_ALUMINUM_HEAVY;TECH_ELECTRICITY;;TECH_ELECTRICITY;;;;0;0;;0;10;1;2;100;3;0;90;10;10;0;0;75;0;0;0;0;0;1;0;0;1;0;0;0;0;[ICON_RES_ALUMINUM];4;RESOURCE_ATLAS
5;RESOURCE_URANIUM;TXT_KEY_RESOURCE_URANIUM;TXT_KEY_CIV5_RESOURCE_URANIUM_TEXT;TXT_KEY_RESOURCE_URANIUM_HELP;RESOURCECLASS_MODERN;ART_DEF_RESOURCE_URANIUM;ART_DEF_RESOURCE_URANIUM_MARSH;ART_DEF_RESOURCE_URANIUM_HEAVY;ART_DEF_RESOURCE_URANIUM_HEAVY_MARSH;TECH_ATOMIC_THEORY;;TECH_ATOMIC_THEORY;;;;0;0;;0;30;1;2;100;3;0;90;10;10;0;0;75;0;0;6;0;0;1;0;0;1;1;1;0;0;[ICON_RES_URANIUM];5;RESOURCE_ATLAS
6;RESOURCE_WHEAT;TXT_KEY_RESOURCE_WHEAT;TXT_KEY_CIV5_RESOURCE_WHEAT_TEXT;;RESOURCECLASS_BONUS;ART_DEF_RESOURCE_WHEAT;;;;;;;;;;0;0;;0;0;0;4;50;3;0;90;25;25;0;0;0;5;0;1;0;0;0;0;0;0;1;0;1;0;[ICON_RES_WHEAT];6;RESOURCE_ATLAS
7;RESOURCE_COW;TXT_KEY_RESOURCE_CATTLE;TXT_KEY_CIV5_RESOURCE_COWS_TEXT;;RESOURCECLASS_BONUS;ART_DEF_RESOURCE_COW;;;;;;TECH_ANIMAL_HUSBANDRY;;;;0;0;;0;0;0;4;50;3;0;90;25;25;0;0;0;5;0;1;0;0;0;0;0;0;1;1;1;0;[ICON_RES_COW];7;RESOURCE_ATLAS
8;RESOURCE_SHEEP;TXT_KEY_RESOURCE_SHEEP;TXT_KEY_CIV5_RESOURCE_SHEEP_TEXT;;RESOURCECLASS_BONUS;ART_DEF_RESOURCE_SHEEP;;;;;;TECH_ANIMAL_HUSBANDRY;;;;0;0;;0;0;0;4;50;3;0;90;25;25;0;0;0;8;0;1;0;0;0;0;0;1;0;1;1;0;[ICON_RES_SHEEP];26;RESOURCE_ATLAS
9;RESOURCE_DEER;TXT_KEY_RESOURCE_DEER;TXT_KEY_CIV5_RESOURCE_DEER_TEXT;;RESOURCECLASS_BONUS;ART_DEF_RESOURCE_DEER;;;;;;TECH_TRAPPING;;;;0;0;;0;0;0;4;50;3;0;90;25;25;0;0;0;9;0;1;0;0;0;0;0;1;1;0;1;0;[ICON_RES_DEER];8;RESOURCE_ATLAS
