TechType;FlavorType;Flavor
TECH_AGRICULTURE;FLAVOR_GROWTH;5
TECH_POTTERY;FLAVOR_GROWTH;4
TECH_POTTERY;FLAVOR_RELIGION;1
TECH_ANIMAL_HUSBANDRY;FLAVOR_MOBILE;4
TECH_ANIMAL_HUSBANDRY;FLAVOR_TILE_IMPROVEMENT;1
TECH_ANIMAL_HUSBANDRY;FLAVOR_GOLD;3
TECH_ARCHERY;FLAVOR_RANGED;4
TECH_ARCHERY;FLAVOR_OFFENSE;1
TECH_MINING;FLAVOR_PRODUCTION;5
TECH_MINING;FLAVOR_TILE_IMPROVEMENT;2
TECH_MINING;FLAVOR_HAPPINESS;2
TECH_SAILING;FLAVOR_NAVAL;3
TECH_SAILING;FLAVOR_NAVAL_TILE_IMPROVEMENT;3
TECH_SAILING;FLAVOR_WONDER;2
TECH_SAILING;FLAVOR_NAVAL_RECON;2
TECH_SAILING;FLAVOR_GOLD;3
TECH_SAILING;FLAVOR_HAPPINESS;3
TECH_CALENDAR;FLAVOR_HAPPINESS;4
TECH_CALENDAR;FLAVOR_TILE_IMPROVEMENT;5
TECH_CALENDAR;FLAVOR_WONDER;2
TECH_CALENDAR;FLAVOR_RELIGION;2
TECH_CALENDAR;FLAVOR_GOLD;6
TECH_CALENDAR;FLAVOR_HAPPINESS;2
TECH_WRITING;FLAVOR_SCIENCE;6
TECH_WRITING;FLAVOR_WONDER;2
TECH_WRITING;FLAVOR_DIPLOMACY;2
TECH_WRITING;FLAVOR_MILITARY_TRAINING;4
TECH_TRAPPING;FLAVOR_GOLD;8
TECH_TRAPPING;FLAVOR_TILE_IMPROVEMENT;2
TECH_TRAPPING;FLAVOR_HAPPINESS;3
TECH_THE_WHEEL;FLAVOR_MOBILE;2
TECH_THE_WHEEL;FLAVOR_GROWTH;2
TECH_THE_WHEEL;FLAVOR_RANGED;2
TECH_THE_WHEEL;FLAVOR_INFRASTRUCTURE;4
TECH_THE_WHEEL;FLAVOR_GOLD;6
