TechType;PrereqTech
TECH_POTTERY;TECH_AGRICULTURE
TECH_ANIMAL_HUSBANDRY;TECH_AGRICULTURE
TECH_ARCHERY;TECH_AGRICULTURE
TECH_MINING;TECH_AGRICULTURE
TECH_SAILING;TECH_POTTERY
TECH_CALENDAR;TECH_POTTERY
TECH_WRITING;TECH_POTTERY
TECH_TRAPPING;TECH_ANIMAL_HUSBANDRY
TECH_THE_WHEEL;TECH_ANIMAL_HUSBANDRY
TECH_THE_WHEEL;TECH_ARCHERY
TECH_MASONRY;TECH_MINING
TECH_BRONZE_WORKING;TECH_MINING
TECH_PHILOSOPHY;TECH_CALENDAR
TECH_PHILOSOPHY;TECH_WRITING
TECH_HORSEBACK_RIDING;TECH_THE_WHEEL
TECH_HORSEBACK_RIDING;TECH_TRAPPING
TECH_MATHEMATICS;TECH_THE_WHEEL
TECH_CONSTRUCTION;TECH_MASONRY
TECH_CONSTRUCTION;TECH_THE_WHEEL
TECH_OPTICS;TECH_SAILING
TECH_DRAMA;TECH_WRITING
TECH_CURRENCY;TECH_MATHEMATICS
TECH_ENGINEERING;TECH_MATHEMATICS
TECH_ENGINEERING;TECH_CONSTRUCTION
TECH_IRON_WORKING;TECH_BRONZE_WORKING
TECH_THEOLOGY;TECH_PHILOSOPHY
TECH_THEOLOGY;TECH_DRAMA
TECH_GUILDS;TECH_CURRENCY
TECH_CIVIL_SERVICE;TECH_DRAMA
TECH_CIVIL_SERVICE;TECH_HORSEBACK_RIDING
TECH_CIVIL_SERVICE;TECH_CURRENCY
TECH_METAL_CASTING;TECH_ENGINEERING
TECH_METAL_CASTING;TECH_IRON_WORKING
TECH_COMPASS;TECH_OPTICS
TECH_COMPASS;TECH_THEOLOGY
TECH_EDUCATION;TECH_THEOLOGY
TECH_EDUCATION;TECH_CIVIL_SERVICE
TECH_CHIVALRY;TECH_CIVIL_SERVICE
TECH_CHIVALRY;TECH_GUILDS
TECH_MACHINERY;TECH_ENGINEERING
TECH_MACHINERY;TECH_GUILDS
TECH_PHYSICS;TECH_METAL_CASTING
TECH_STEEL;TECH_METAL_CASTING
TECH_ASTRONOMY;TECH_COMPASS
TECH_ASTRONOMY;TECH_EDUCATION
TECH_ACOUSTICS;TECH_EDUCATION
TECH_BANKING;TECH_EDUCATION
TECH_BANKING;TECH_CHIVALRY
TECH_PRINTING_PRESS;TECH_MACHINERY
TECH_PRINTING_PRESS;TECH_PHYSICS
TECH_PRINTING_PRESS;TECH_CHIVALRY
TECH_GUNPOWDER;TECH_PHYSICS
TECH_GUNPOWDER;TECH_STEEL
TECH_NAVIGATION;TECH_ASTRONOMY
TECH_ARCHITECTURE;TECH_ACOUSTICS
TECH_ARCHITECTURE;TECH_BANKING
TECH_ECONOMICS;TECH_BANKING
TECH_ECONOMICS;TECH_PRINTING_PRESS
TECH_CHEMISTRY;TECH_GUNPOWDER
TECH_METALLURGY;TECH_GUNPOWDER
TECH_METALLURGY;TECH_PRINTING_PRESS
TECH_ARCHAEOLOGY;TECH_NAVIGATION
TECH_ARCHAEOLOGY;TECH_ARCHITECTURE
TECH_SCIENTIFIC_THEORY;TECH_ECONOMICS
TECH_SCIENTIFIC_THEORY;TECH_ARCHITECTURE
TECH_INDUSTRIALIZATION;TECH_ECONOMICS
TECH_MILITARY_SCIENCE;TECH_CHEMISTRY
TECH_MILITARY_SCIENCE;TECH_METALLURGY
TECH_FERTILIZER;TECH_CHEMISTRY
TECH_RIFLING;TECH_ECONOMICS
TECH_RIFLING;TECH_METALLURGY
TECH_BIOLOGY;TECH_ARCHAEOLOGY
TECH_BIOLOGY;TECH_SCIENTIFIC_THEORY
TECH_STEAM_POWER;TECH_RIFLING
TECH_STEAM_POWER;TECH_INDUSTRIALIZATION
TECH_STEAM_POWER;TECH_SCIENTIFIC_THEORY
TECH_ELECTRICITY;TECH_SCIENTIFIC_THEORY
TECH_REPLACEABLE_PARTS;TECH_STEAM_POWER
TECH_REPLACEABLE_PARTS;TECH_ELECTRICITY
TECH_RAILROAD;TECH_STEAM_POWER
TECH_RAILROAD;TECH_DYNAMITE
TECH_DYNAMITE;TECH_FERTILIZER
TECH_DYNAMITE;TECH_MILITARY_SCIENCE
TECH_REFRIGERATION;TECH_ELECTRICITY
TECH_REFRIGERATION;TECH_BIOLOGY
TECH_RADIO;TECH_ELECTRICITY
TECH_FLIGHT;TECH_STEAM_POWER
TECH_BALLISTICS;TECH_RAILROAD
TECH_BALLISTICS;TECH_FLIGHT
TECH_COMBUSTION;TECH_RAILROAD
TECH_PLASTIC;TECH_RADIO
TECH_PLASTIC;TECH_REPLACEABLE_PARTS
TECH_PENICILIN;TECH_REFRIGERATION
TECH_PENICILIN;TECH_PLASTIC
TECH_ELECTRONICS;TECH_REPLACEABLE_PARTS
TECH_ELECTRONICS;TECH_FLIGHT
TECH_RADAR;TECH_ELECTRONICS
TECH_RADAR;TECH_BALLISTICS
TECH_COMBINED_ARMS;TECH_BALLISTICS
TECH_COMBINED_ARMS;TECH_COMBUSTION
TECH_ATOMIC_THEORY;TECH_PLASTIC
TECH_ATOMIC_THEORY;TECH_ELECTRONICS
TECH_ECOLOGY;TECH_ATOMIC_THEORY
TECH_ECOLOGY;TECH_PENICILIN
TECH_NUCLEAR_FISSION;TECH_ATOMIC_THEORY
TECH_NUCLEAR_FISSION;TECH_RADAR
TECH_ROCKETRY;TECH_RADAR
TECH_COMPUTERS;TECH_RADAR
TECH_COMPUTERS;TECH_COMBINED_ARMS
TECH_TELECOM;TECH_ECOLOGY
TECH_MOBILE_TACTICS;TECH_ECOLOGY
TECH_MOBILE_TACTICS;TECH_NUCLEAR_FISSION
TECH_ADVANCED_BALLISTICS;TECH_NUCLEAR_FISSION
TECH_ADVANCED_BALLISTICS;TECH_ROCKETRY
TECH_SATELLITES;TECH_ROCKETRY
TECH_ROBOTICS;TECH_ROCKETRY
TECH_ROBOTICS;TECH_COMPUTERS
TECH_LASERS;TECH_COMPUTERS
TECH_INTERNET;TECH_TELECOM
TECH_GLOBALIZATION;TECH_TELECOM
TECH_PARTICLE_PHYSICS;TECH_TELECOM
TECH_PARTICLE_PHYSICS;TECH_MOBILE_TACTICS
TECH_PARTICLE_PHYSICS;TECH_ADVANCED_BALLISTICS
TECH_NUCLEAR_FUSION;TECH_ADVANCED_BALLISTICS
TECH_NUCLEAR_FUSION;TECH_SATELLITES
TECH_NUCLEAR_FUSION;TECH_ROBOTICS
TECH_STEALTH;TECH_ROBOTICS
TECH_STEALTH;TECH_LASERS
TECH_NANOTECHNOLOGY;TECH_ROBOTICS
TECH_FUTURE_TECH;TECH_INTERNET
TECH_FUTURE_TECH;TECH_GLOBALIZATION
TECH_FUTURE_TECH;TECH_PARTICLE_PHYSICS
TECH_FUTURE_TECH;TECH_NUCLEAR_FUSION
TECH_FUTURE_TECH;TECH_NANOTECHNOLOGY
TECH_FUTURE_TECH;TECH_STEALTH
