UnitType;UnitClassType
UNIT_ENGLISH_SHIPOFTHELINE;UNITCLASS_BATTLESHIP
UNIT_FRIGATE;UNITCLASS_BATTLESHIP
UNIT_CARAVEL;UNITCLASS_IRONCLAD
UNIT_SUBMARINE;UNITCLASS_NUCLEAR_SUBMARINE
UNIT_TRIREME;UNITCLASS_CARAVEL
UNIT_GALLEY;UNITCLASS_TRIREME
UNIT_WARRIOR;UNITCLASS_SWORDSMAN
UNIT_AZTEC_JAGUAR;UNITCLASS_SWORDSMAN
UNIT_BARBARIAN_WARRIOR;UNITCLASS_SWORDSMAN
UNIT_ARCHER;UNITCLASS_COMPOSITE_BOWMAN
UNIT_BARBARIAN_ARCHER;UNITCLASS_COMPOSITE_BOWMAN
UNIT_SPEARMAN;UNITCLASS_PIKEMAN
UNIT_BARBARIAN_SPEARMAN;UNITCLASS_PIKEMAN
UNIT_GREEK_HOPLITE;UNITCLASS_PIKEMAN
UNIT_PERSIAN_IMMORTAL;UNITCLASS_PIKEMAN
UNIT_CHARIOT_ARCHER;UNITCLASS_KNIGHT
UNIT_EGYPTIAN_WARCHARIOT;UNITCLASS_KNIGHT
UNIT_INDIAN_WARELEPHANT;UNITCLASS_KNIGHT
UNIT_SWORDSMAN;UNITCLASS_LONGSWORDSMAN
UNIT_BARBARIAN_SWORDSMAN;UNITCLASS_LONGSWORDSMAN
UNIT_IROQUOIAN_MOHAWKWARRIOR;UNITCLASS_LONGSWORDSMAN
UNIT_ROMAN_LEGION;UNITCLASS_LONGSWORDSMAN
UNIT_HORSEMAN;UNITCLASS_KNIGHT
UNIT_GREEK_COMPANIONCAVALRY;UNITCLASS_KNIGHT
UNIT_CATAPULT;UNITCLASS_TREBUCHET
UNIT_ROMAN_BALLISTA;UNITCLASS_TREBUCHET
UNIT_KNIGHT;UNITCLASS_CAVALRY
UNIT_ARABIAN_CAMELARCHER;UNITCLASS_CAVALRY
UNIT_SIAMESE_WARELEPHANT;UNITCLASS_CAVALRY
UNIT_SONGHAI_MUSLIMCAVALRY;UNITCLASS_CAVALRY
UNIT_CAVALRY;UNITCLASS_WWI_TANK
UNIT_RUSSIAN_COSSACK;UNITCLASS_WWI_TANK
UNIT_OTTOMAN_SIPAHI;UNITCLASS_ANTI_TANK_GUN
UNIT_LANCER;UNITCLASS_ANTI_TANK_GUN
UNIT_CROSSBOWMAN;UNITCLASS_GATLINGGUN
UNIT_CHINESE_CHUKONU;UNITCLASS_GATLINGGUN
UNIT_ENGLISH_LONGBOWMAN;UNITCLASS_GATLINGGUN
UNIT_PIKEMAN;UNITCLASS_LANCER
UNIT_GERMAN_LANDSKNECHT;UNITCLASS_LANCER
UNIT_TREBUCHET;UNITCLASS_CANNON
UNIT_LONGSWORDSMAN;UNITCLASS_MUSKETMAN
UNIT_JAPANESE_SAMURAI;UNITCLASS_RIFLEMAN
UNIT_MUSKETMAN;UNITCLASS_RIFLEMAN
UNIT_AMERICAN_MINUTEMAN;UNITCLASS_RIFLEMAN
UNIT_FRENCH_MUSKETEER;UNITCLASS_RIFLEMAN
