UnitType;PromotionType
UNIT_AZTEC_JAGUAR;PROMOTION_JAGUAR
UNIT_AZTEC_JAGUAR;PROMOTION_WOODSMAN
UNIT_AZTEC_JAGUAR;PROMOTION_PARTIAL_HEAL_IF_DESTROY_ENEMY
UNIT_SCOUT;PROMOTION_IGNORE_TERRAIN_COST
UNIT_ARCHER;PROMOTION_ONLY_DEFENSIVE
UNIT_BARBARIAN_ARCHER;PROMOTION_ONLY_DEFENSIVE
UNIT_SPEARMAN;PROMOTION_ANTI_MOUNTED_I
UNIT_BARBARIAN_SPEARMAN;PROMOTION_ANTI_MOUNTED_I
UNIT_GREEK_HOPLITE;PROMOTION_ANTI_MOUNTED_I
UNIT_PERSIAN_IMMORTAL;PROMOTION_ANTI_MOUNTED_I
UNIT_PERSIAN_IMMORTAL;PROMOTION_FASTER_HEAL
UNIT_CHARIOT_ARCHER;PROMOTION_ROUGH_TERRAIN_ENDS_TURN
UNIT_CHARIOT_ARCHER;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_CHARIOT_ARCHER;PROMOTION_ONLY_DEFENSIVE
UNIT_EGYPTIAN_WARCHARIOT;PROMOTION_ROUGH_TERRAIN_ENDS_TURN
UNIT_EGYPTIAN_WARCHARIOT;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_EGYPTIAN_WARCHARIOT;PROMOTION_ONLY_DEFENSIVE
UNIT_INDIAN_WARELEPHANT;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_INDIAN_WARELEPHANT;PROMOTION_ONLY_DEFENSIVE
UNIT_IROQUOIAN_MOHAWKWARRIOR;PROMOTION_MOHAWK
UNIT_HORSEMAN;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_HORSEMAN;PROMOTION_CAN_MOVE_AFTER_ATTACKING
UNIT_HORSEMAN;PROMOTION_CITY_PENALTY
UNIT_GREEK_COMPANIONCAVALRY;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_GREEK_COMPANIONCAVALRY;PROMOTION_CAN_MOVE_AFTER_ATTACKING
