ID;Type;Description;Civilopedia;Strategy;Help;Requirements;Combat;RangedCombat;Cost;FaithCost;RequiresFaithPurchaseEnabled;PurchaseOnly;MoveAfterPurchase;Moves;Immobile;Range;BaseSightRange;Class;Special;Capture;CombatClass;Domain;CivilianAttackPriority;DefaultUnitAI;Food;NoBadGoodies;RivalTerritory;MilitarySupport;MilitaryProduction;Pillage;PillagePrereqTech;Found;FoundAbroad;CultureBombRadius;GoldenAgeTurns;FreePolicies;OneShotTourism;OneShotTourismPercentOthers;IgnoreBuildingDefense;PrereqResources;Mechanized;Suicide;CaptureWhileEmbarked;PrereqTech;ObsoleteTech;GoodyHutUpgradeUnitClass;HurryCostModifier;AdvancedStartCost;MinAreaSize;AirInterceptRange;AirUnitCap;NukeDamageLevel;WorkRate;NumFreeTechs;BaseBeakersTurnsToCount;BaseCultureTurnsToCount;RushBuilding;BaseHurry;HurryMultiplier;BaseGold;NumGoldPerEra;SpreadReligion;RemoveHeresy;ReligionSpreads;ReligiousStrength;FoundReligion;RequiresEnhancedReligion;ProhibitsSpread;CanBuyCityState;CombatLimit;RangeAttackOnlyInDomain;RangeAttackIgnoreLOS;Trade;NumExoticGoods;PolicyType;RangedCombatLimit;XPValueAttack;XPValueDefense;SpecialCargo;DomainCargo;Conscription;ExtraMaintenanceCost;NoMaintenance;Unhappiness;UnitArtInfo;UnitArtInfoCulturalVariation;UnitArtInfoEraVariation;ProjectPrereq;SpaceshipProject;LeaderPromotion;LeaderExperience;DontShowYields;ShowInPedia;MoveRate;UnitFlagIconOffset;PortraitIndex;IconAtlas;UnitFlagAtlas
0;UNIT_SETTLER;TXT_KEY_UNIT_SETTLER;TXT_KEY_CIV5_ANTIQUITY_SETTLER_TEXT;TXT_KEY_UNIT_SETTLER_STRATEGY;TXT_KEY_UNIT_HELP_SETTLER;TXT_KEY_NO_ACTION_SETTLER_SIZE_LIMIT_HARDCODED;0;0;0;0;0;0;0;2;0;0;2;UNITCLASS_SETTLER;;UNITCLASS_WORKER;;DOMAIN_LAND;CIVILIAN_ATTACK_PRIORITY_HIGH_EARLY_GAME_ONLY;UNITAI_SETTLE;1;0;0;0;0;0;;1;0;0;0;0;0;0;0;0;0;0;0;;;;20;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;0;0;ART_DEF_UNIT__SETTLER;1;0;;;;0;0;1;BIPED;0;0;UNIT_ATLAS_1;UNIT_FLAG_ATLAS
1;UNIT_WORKER;TXT_KEY_UNIT_WORKER;TXT_KEY_CIV5_ANTIQUITY_WORKER_TEXT;TXT_KEY_UNIT_WORKER_STRATEGY;TXT_KEY_UNIT_HELP_WORKER;;0;0;70;0;0;0;0;2;0;0;2;UNITCLASS_WORKER;;UNITCLASS_WORKER;;DOMAIN_LAND;CIVILIAN_ATTACK_PRIORITY_LOW;UNITAI_WORKER;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;20;-1;0;0;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;0;0;ART_DEF_UNIT__WORKER;0;1;;;;0;0;1;BIPED;1;1;UNIT_ATLAS_1;UNIT_FLAG_ATLAS
2;UNIT_WORKBOAT;TXT_KEY_UNIT_WORK_BOAT;TXT_KEY_CIV5_ANTIQUITY_WORKBOAT_TEXT;TXT_KEY_UNIT_WORK_BOAT_STRATEGY;TXT_KEY_UNIT_HELP_WORKBOAT;;0;0;50;0;0;0;0;4;0;0;2;UNITCLASS_WORKBOAT;;;;DOMAIN_SEA;CIVILIAN_ATTACK_PRIORITY_LOW;UNITAI_WORKER_SEA;0;0;0;1;1;0;;0;0;0;0;0;0;0;0;1;1;0;0;TECH_SAILING;;;0;10;-1;0;0;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;3;;;0;0;0;0;ART_DEF_UNIT_WORKBOAT;0;1;;;;0;0;1;WOODEN_BOAT;2;2;UNIT_ATLAS_1;UNIT_FLAG_ATLAS
3;UNIT_ARTIST;TXT_KEY_UNIT_GREAT_ARTIST;TXT_KEY_CIV5_GREATARTISTS_TEXT;TXT_KEY_UNIT_GREAT_ARTIST_STRATEGY;;;0;0;-1;0;0;0;0;2;0;0;2;UNITCLASS_ARTIST;SPECIALUNIT_PEOPLE;;;DOMAIN_LAND;CIVILIAN_ATTACK_PRIORITY_HIGH;UNITAI_ARTIST;0;0;0;0;0;0;;0;0;0;8;0;0;0;0;0;0;0;0;;;;0;-1;-1;0;0;-1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;0;0;ART_DEF_UNIT_GREAT_ARTIST;0;1;;;;0;0;1;GREAT_PERSON;6;6;EXPANSION2_UNIT_ATLAS;EXPANSION2_UNIT_FLAG_ATLAS
4;UNIT_SCIENTIST;TXT_KEY_UNIT_GREAT_SCIENTIST;TXT_KEY_CIV5_GREATSCIENTISTS_TEXT;TXT_KEY_UNIT_GREAT_SCIENTIST_STRATEGY;;;0;0;-1;0;0;0;0;2;0;0;2;UNITCLASS_SCIENTIST;SPECIALUNIT_PEOPLE;;;DOMAIN_LAND;CIVILIAN_ATTACK_PRIORITY_HIGH;UNITAI_SCIENTIST;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;-1;-1;0;0;-1;1;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;0;0;ART_DEF_UNIT_SCIENTIST;0;1;;;;0;0;1;GREAT_PERSON;91;45;UNIT_ATLAS_2;UNIT_FLAG_ATLAS
5;UNIT_MERCHANT;TXT_KEY_UNIT_GREAT_MERCHANT;TXT_KEY_CIV5_GREATMERCHANTS_TEXT;TXT_KEY_UNIT_GREAT_MERCHANT_STRATEGY;;;0;0;-1;0;0;0;0;2;0;0;2;UNITCLASS_MERCHANT;SPECIALUNIT_PEOPLE;;;DOMAIN_LAND;CIVILIAN_ATTACK_PRIORITY_HIGH;UNITAI_MERCHANT;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;-1;-1;0;0;-1;1;0;0;0;0;0;0;300;100;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;0;0;ART_DEF_UNIT_MERCHANT;0;1;;;;0;0;1;GREAT_PERSON;92;46;UNIT_ATLAS_2;UNIT_FLAG_ATLAS
6;UNIT_ENGINEER;TXT_KEY_UNIT_GREAT_ENGINEER;TXT_KEY_CIV5_GREATENGINEERS_TEXT;TXT_KEY_UNIT_GREAT_ENGINEER_STRATEGY;;;0;0;-1;0;0;0;0;2;0;0;2;UNITCLASS_ENGINEER;SPECIALUNIT_PEOPLE;;;DOMAIN_LAND;CIVILIAN_ATTACK_PRIORITY_HIGH;UNITAI_ENGINEER;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;-1;-1;0;0;-1;1;0;0;0;0;300;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;0;0;ART_DEF_UNIT_ENGINEER;0;1;;;;0;0;1;GREAT_PERSON;89;47;UNIT_ATLAS_2;UNIT_FLAG_ATLAS
7;UNIT_GREAT_GENERAL;TXT_KEY_UNIT_GREAT_GENERAL;TXT_KEY_CIV5_GREATGENERALS_TEXT;TXT_KEY_UNIT_GREAT_GENERAL_STRATEGY;;;0;0;-1;0;0;0;0;2;0;0;2;UNITCLASS_GREAT_GENERAL;SPECIALUNIT_PEOPLE;;;DOMAIN_LAND;CIVILIAN_ATTACK_PRIORITY_HIGH;UNITAI_GENERAL;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;-1;-1;0;0;-1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;0;0;ART_DEF_UNIT_GENERAL;0;1;;;;0;1;1;GREAT_PERSON;90;48;UNIT_ATLAS_2;UNIT_FLAG_ATLAS
8;UNIT_SS_STASIS_CHAMBER;TXT_KEY_SS_STASIS_CHAMBER;TXT_KEY_PROJECT_SS_STASIS_CHAMBER_PEDIA;TXT_KEY_PROJECT_SS_STASIS_CHAMBER_STRATEGY;TXT_KEY_UNIT_HELP_SS_PART;;0;0;1500;0;0;0;0;2;0;0;2;UNITCLASS_SS_STASIS_CHAMBER;;;;DOMAIN_LAND;CIVILIAN_ATTACK_PRIORITY_HIGH;UNITAI_SPACESHIP_PART;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;TECH_NANOTECHNOLOGY;;;-1;-1;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;0;0;ART_DEF_UNIT_SS_STASIS_CHAMBER;0;0;PROJECT_APOLLO_PROGRAM;PROJECT_SS_STASIS_CHAMBER;;0;0;1;QUADRUPED;85;38;BW_ATLAS_2;UNIT_FLAG_ATLAS
9;UNIT_SS_ENGINE;TXT_KEY_SS_ENGINE;TXT_KEY_PROJECT_SS_ENGINE_PEDIA;TXT_KEY_PROJECT_SS_ENGINE_STRATEGY;TXT_KEY_UNIT_HELP_SS_PART;;0;0;1500;0;0;0;0;2;0;0;2;UNITCLASS_SS_ENGINE;;;;DOMAIN_LAND;CIVILIAN_ATTACK_PRIORITY_HIGH;UNITAI_SPACESHIP_PART;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;TECH_PARTICLE_PHYSICS;;;-1;-1;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;0;0;ART_DEF_UNIT_SS_ENGINE;0;0;PROJECT_APOLLO_PROGRAM;PROJECT_SS_ENGINE;;0;0;1;WHEELED;86;39;BW_ATLAS_2;UNIT_FLAG_ATLAS
